# COMPUTED by lab1_analysis.m (not an instrument capture)
# FFT of Assignment1_1000sampling.txt, Tukey alpha=0.1, Nfft=4096
# Frequency [THz]	THz Signal [dB]
2.61474610	-3.63620100
2.62207032	-5.20684721
2.62939454	-9.52827726
2.63671876	-19.39753704
2.64404298	-22.07390438
2.65136720	-15.39664470
2.65869142	-10.34376663
2.66601564	-8.12196101
2.67333985	-5.81143482
2.68066407	-6.02898463
2.68798829	-9.97279370
2.69531251	-6.55697364
2.70263673	-3.97997050
2.70996095	-4.49551638
2.71728517	-4.48609673
2.72460939	-4.26619820
2.73193361	-4.64943678
2.73925782	-4.79941646
2.74658204	-5.32055941
2.75390626	-5.88575045
2.76123048	-8.05188725
2.76855470	-15.31152938
2.77587892	-27.25679706
2.78320314	-19.28869966
2.79052736	-9.83922420
2.79785157	-6.65918109
2.80517579	-6.23462634
2.81250001	-5.68081271
2.81982423	-5.50212240
2.82714845	-5.65633759
2.83447267	-5.47133751
2.84179689	-5.78393007
2.84912111	-5.84097624
2.85644532	-6.04796416
2.86376954	-6.43121059
2.87109376	-6.81415027
2.87841798	-11.07188567
2.88574220	-27.82076037
2.89306642	-10.40460956
2.90039064	-7.74976598
2.90771486	-7.14253973
2.91503907	-7.22810428
2.92236329	-7.37275375
2.92968751	-7.10534042
2.93701173	-7.75304887
2.94433595	-7.93198925
2.95166017	-8.02478192
2.95898439	-11.31867753
2.96630861	-19.98459674
2.97363282	-28.10912893
2.98095704	-18.01161311
2.98828126	-12.33269082
2.99560548	-11.63853130
3.00292970	-15.37167728
3.01025392	-23.06999969
3.01757814	-24.65342033
3.02490236	-19.20010137
3.03222658	-13.62060762
3.03955079	-13.73900172
3.04687501	-22.51616102
3.05419923	-13.20995979
3.06152345	-9.43503121
3.06884767	-9.82950388
3.07617189	-9.88440117
3.08349611	-9.47937365
3.09082033	-10.11727868
3.09814454	-10.20869811
3.10546876	-10.39263547
3.11279298	-10.81613534
3.12011720	-11.84479953
3.12744142	-15.73735377
3.13476564	-24.85398351
3.14208986	-24.30444021
3.14941408	-15.37922642
3.15673829	-13.22706069
3.16406251	-17.13735343
3.17138673	-26.84548713
3.17871095	-18.03077155
3.18603517	-16.94391138
3.19335939	-13.23234488
3.20068361	-11.59665055
3.20800783	-13.92323654
3.21533204	-14.51581065
3.22265626	-13.23235829
3.22998048	-18.13635373
3.23730470	-19.87656163
3.24462892	-13.25191028
3.25195314	-12.86824395
3.25927736	-13.30354181
3.26660158	-12.89809385
3.27392579	-13.40432326
3.28125001	-13.41866915
3.28857423	-13.35093189
3.29589845	-13.87712989
3.30322267	-14.05363901
3.31054689	-14.13879418
3.31787111	-14.81246061
3.32519533	-17.55113621
3.33251955	-25.86871022
3.33984376	-24.55096141
3.34716798	-17.58135016
3.35449220	-15.31876563
3.36181642	-15.14756079
3.36914064	-15.00944219
3.37646486	-14.63647587
3.38378908	-15.01645707
3.39111330	-15.23712110
3.39843751	-15.25023104
3.40576173	-15.44924877
3.41308595	-15.46084959
3.42041017	-15.69016597
3.42773439	-15.96343873
3.43505861	-16.05484364
3.44238283	-16.07475254
3.44970705	-16.29208415
3.45703126	-16.70797420
3.46435548	-16.61998784
3.47167970	-16.95693048
3.47900392	-17.06627734
3.48632814	-16.56459976
3.49365236	-18.27289177
3.50097658	-19.83500437
3.50830080	-18.34374574
3.51562501	-18.44659370
3.52294923	-17.79202527
3.53027345	-18.20662885
3.53759767	-25.37170811
3.54492189	-23.66635588
3.55224611	-18.68854246
3.55957033	-18.96730036
3.56689455	-19.45402887
3.57421876	-19.59755045
3.58154298	-19.98529875
3.58886720	-20.44524257
3.59619142	-24.39181687
3.60351564	-35.65359372
3.61083986	-28.77686067
3.61816408	-26.32437110
3.62548830	-22.44322874
3.63281252	-21.01190067
3.64013673	-24.15224609
3.64746095	-30.50489528
3.65478517	-39.81914063
3.66210939	-36.08075617
3.66943361	-31.62162126
3.67675783	-25.32193016
3.68408205	-24.07814818
3.69140627	-25.95027659
3.69873048	-24.94461587
3.70605470	-22.44045985
3.71337892	-22.01162846
3.72070314	-22.24986961
3.72802736	-22.85985359
3.73535158	-23.61390983
3.74267580	-23.34212102
3.75000002	-23.06482573
3.75732423	-23.12784001
3.76464845	-23.29431601
3.77197267	-23.75149593
3.77929689	-24.22242069
3.78662111	-25.49020841
3.79394533	-29.58980735
3.80126955	-39.25877289
3.80859377	-44.26724452
3.81591798	-41.43767229
3.82324220	-35.27561222
3.83056642	-29.31340031
3.83789064	-26.55847764
3.84521486	-26.20590147
3.85253908	-27.81221887
3.85986330	-29.02286668
3.86718752	-27.58105729
3.87451173	-26.22813823
3.88183595	-26.42563459
3.88916017	-26.66837012
3.89648439	-26.50993177
3.90380861	-27.17070959
3.91113283	-27.17094143
3.91845705	-27.45764904
3.92578127	-30.08245312
3.93310549	-30.01470379
3.94042970	-28.75406877
3.94775392	-33.03662499
3.95507814	-47.41699624
3.96240236	-38.10190573
3.96972658	-40.45034994
3.97705080	-59.56854122
3.98437502	-47.71951133
3.99169924	-39.89769449
3.99902345	-37.72962664
4.00634767	-38.14537341
4.01367189	-33.70424083
4.02099611	-32.42766283
4.02832033	-34.62830090
4.03564455	-34.56395270
4.04296877	-34.37828714
4.05029299	-35.69028850
4.05761720	-34.00885682
4.06494142	-34.50061298
4.07226564	-36.80695222
4.07958986	-35.97461611
4.08691408	-34.90157139
4.09423830	-35.46465451
4.10156252	-36.16951648
4.10888674	-35.75879348
4.11621095	-35.22054447
4.12353517	-36.64423160
4.13085939	-39.92759089
4.13818361	-41.75436061
4.14550783	-41.21692748
4.15283205	-43.40002188
4.16015627	-51.26165203
4.16748049	-49.64239349
4.17480470	-55.36452716
4.18212892	-42.87463420
4.18945314	-45.37376275
4.19677736	-53.06093130
4.20410158	-40.02481645
4.21142580	-39.38927726
4.21875002	-53.50277266
4.22607424	-41.99284902
4.23339846	-41.36947917
4.24072267	-46.28664821
4.24804689	-40.38336842
4.25537111	-37.68567912
4.26269533	-40.87299382
4.27001955	-42.39006339
4.27734377	-41.27945170
4.28466799	-42.98787474
4.29199221	-43.02091821
4.29931642	-44.84888606
4.30664064	-45.39777859
4.31396486	-45.67004898
4.32128908	-47.35735513
4.32861330	-49.74619093
4.33593752	-58.30727191
4.34326174	-57.34909211
4.35058596	-59.91813264
4.35791017	-46.21184419
4.36523439	-49.85408944
4.37255861	-52.54968834
4.37988283	-57.14137580
4.38720705	-49.69545976
4.39453127	-52.76990631
4.40185549	-48.52930660
4.40917971	-47.95412696
4.41650392	-54.92493499
4.42382814	-52.73142920
4.43115236	-47.61851039
4.43847658	-49.62455787
4.44580080	-49.74028767
4.45312502	-58.64276042
4.46044924	-55.36588722
4.46777346	-46.99806960
4.47509767	-50.01505778
4.48242189	-49.44865943
4.48974611	-50.81641757
4.49707033	-47.89129997
4.50439455	-49.55558156
4.51171877	-60.67399399
4.51904299	-46.92862495
4.52636721	-44.08755052
4.53369143	-46.62680110
4.54101564	-45.18131809
4.54833986	-48.14960660
4.55566408	-47.34042025
4.56298830	-44.74531934
4.57031252	-63.39991375
4.57763674	-48.60865202
4.58496096	-44.45491000
4.59228518	-53.54490194
4.59960939	-45.47170881
4.60693361	-57.39467985
4.61425783	-50.88005035
4.62158205	-46.47970828
4.62890627	-50.64928794
4.63623049	-66.26791428
4.64355471	-47.18047916
4.65087893	-46.63433569
4.65820314	-49.44442202
4.66552736	-49.97878123
4.67285158	-46.50190018
4.68017580	-50.21352926
4.68750002	-52.47485109
4.69482424	-54.30446897
4.70214846	-47.12053994
4.70947268	-58.43447479
4.71679689	-60.42433927
4.72412111	-44.85657192
4.73144533	-47.44513580
4.73876955	-53.70590558
4.74609377	-71.07917647
4.75341799	-47.79079474
4.76074221	-47.86186718
4.76806643	-48.47747928
4.77539064	-57.74231387
4.78271486	-63.10804232
4.79003908	-46.32651517
4.79736330	-43.84560128
4.80468752	-51.15283764
4.81201174	-46.71972693
4.81933596	-49.05084998
4.82666018	-43.92428484
4.83398440	-43.60017644
4.84130861	-47.82888554
4.84863283	-50.17914362
4.85595705	-53.26162326
4.86328127	-49.72323438
4.87060549	-63.15775897
4.87792971	-57.93778354
4.88525393	-50.30227627
4.89257815	-50.61685372
4.89990236	-54.77914113
4.90722658	-51.89598885
4.91455080	-48.10884532
4.92187502	-50.00523533
4.92919924	-46.82960524
4.93652346	-57.54802994
4.94384768	-54.85291889
4.95117190	-54.14586192
4.95849611	-50.19158576
4.96582033	-53.17939095
4.97314455	-66.57724075
4.98046877	-48.94191764
4.98779299	-48.66901361
