N,sigma_t,SNR_t_dB,floor_dB,DR_dB
1,0.00187717025565463,63.7531019551412,-24.9444269190547,59.6301516258982
50,0.00045733052216435,76.0086279365781,-41.7741139989006,76.4524893592671
100,0.000364683324823804,77.9948191643688,-44.2561943163647,78.9336255514659
1000,0.000443043784193781,76.2866580980511,-54.6228484536685,89.2988488473455
