slab,d_mm,tau_ps,n,eps_delay,eps_sweep,tand_0p5THz,tand_1THz,dB_per_lambda,rms_fit,material,eps_table
Slab 1,7.5,7.50759420779298,1.30009601616278,1.69024965124232,NaN,0.00061327574044474,0.00100580668057675,0.016734778372953,0.0864106316627778,Gore-Tex,1.35
Slab 2,3.08,1.4769389232122,1.14375816561872,1.3081827414195,1.11849624391367,0.00191082997153066,0.00262675575372738,0.0521418245873741,0.070909798707737,Gore-Tex,1.35
Slab 3,4.8,28.306052883432,2.76790441045876,7.66129482543706,NaN,0.00556413308237434,0.0131115960884093,0.151831432144413,0.115300957599084,Ceramic,7.55
Slab 4,0.525,4.24390508487743,3.42341092745544,11.7197423782213,11.9834365817313,0.0530926897278269,0.0137922754554947,1.44876820853017,0.183192805864378,Silicon,11.9
Slab 5,0.525,4.22736921584885,3.41396839636735,11.655180211395,11.713456112452,0.00746045985670419,0.00278305711346433,0.20357750034547,0.0724263287823933,Silicon,11.9
Slab 6,2.04,2.94865050046148,1.43332508888053,2.05442081041437,1.74625768885222,0.00479674368157461,0.00817665588018951,0.130891273091613,0.0955562139862178,Teflon,2.1
