# COMPUTED by lab1_analysis.m (not an instrument capture)
# FFT of Assignment1_calibration.txt, Tukey alpha=0.1, Nfft=4096
# Frequency [THz]	THz Signal [dB]
1.13525391	25.34694147
1.14257813	24.82822267
1.14990235	24.45106032
1.15722657	20.42433305
1.16455079	11.79911199
1.17187500	22.07090129
1.17919922	24.92868141
1.18652344	24.50951389
1.19384766	24.88584360
1.20117188	24.22640527
1.20849610	20.77775418
1.21582032	23.38159512
1.22314454	23.80014431
1.23046876	21.13785088
1.23779297	23.62000679
1.24511719	24.42560936
1.25244141	23.98973089
1.25976563	24.48078302
1.26708985	24.14168889
1.27441407	24.05926643
1.28173829	23.99297917
1.28906251	23.76488822
1.29638672	23.94582985
1.30371094	23.60847541
1.31103516	23.45456248
1.31835938	23.21107212
1.32568360	22.82751169
1.33300782	23.07542842
1.34033204	22.92239704
1.34765626	22.68936320
1.35498047	22.75986927
1.36230469	22.54037874
1.36962891	22.35853659
1.37695313	22.43541798
1.38427735	22.02004709
1.39160157	21.73621242
1.39892579	21.81289883
1.40625001	18.48935446
1.41357422	11.40807018
1.42089844	19.86881637
1.42822266	21.38100742
1.43554688	20.88027415
1.44287110	21.41604541
1.45019532	21.10172096
1.45751954	20.90905987
1.46484376	21.00120115
1.47216797	20.63375907
1.47949219	20.72427742
1.48681641	20.54855075
1.49414063	20.43816550
1.50146485	20.33554182
1.50878907	19.97718137
1.51611329	20.03491137
1.52343751	19.83067468
1.53076173	19.69366484
1.53808594	19.49898072
1.54541016	19.27148401
1.55273438	19.46438096
1.56005860	19.05891610
1.56738282	19.09346095
1.57470704	19.06800515
1.58203126	18.52317238
1.58935548	18.78322740
1.59667969	17.03973398
1.60400391	13.69540017
1.61132813	16.48257772
1.61865235	17.83801299
1.62597657	17.61320982
1.63330079	17.27612769
1.64062501	16.95013729
1.64794923	16.21560032
1.65527344	12.49221427
1.66259766	2.49073636
1.66992188	-9.04737936
1.67724610	5.02985988
1.68457032	13.14749704
1.69189454	15.19425904
1.69921876	14.76545005
1.70654298	12.96543322
1.71386719	6.62920101
1.72119141	3.56936896
1.72851563	11.52139608
1.73583985	14.00271073
1.74316407	14.88667739
1.75048829	14.70746405
1.75781251	13.50914310
1.76513673	12.59881454
1.77246094	13.41154286
1.77978516	14.17625581
1.78710938	13.10960401
1.79443360	9.79995305
1.80175782	9.46470220
1.80908204	13.01713665
1.81640626	13.44332615
1.82373048	12.53252753
1.83105470	13.02359427
1.83837891	12.77769179
1.84570313	11.95855844
1.85302735	12.62185655
1.86035157	11.15586635
1.86767579	2.83281419
1.87500001	7.23654850
1.88232423	11.46454958
1.88964845	11.62168566
1.89697266	11.16090191
1.90429688	11.61128945
1.91162110	10.57025341
1.91894532	4.95350869
1.92626954	6.73811778
1.93359376	10.94288563
1.94091798	10.71041672
1.94824220	10.54618753
1.95556641	11.10639998
1.96289063	10.18772464
1.97021485	9.80274495
1.97753907	9.85608452
1.98486329	9.66256132
1.99218751	9.92120398
1.99951173	9.78120300
2.00683595	9.56964409
2.01416016	9.03413844
2.02148438	8.90709588
2.02880860	9.32357537
2.03613282	6.93766455
2.04345704	4.05985815
2.05078126	7.48785641
2.05810548	9.12488047
2.06542970	8.30339680
2.07275391	6.04675685
2.08007813	5.77559872
2.08740235	7.85768920
2.09472657	8.38554177
2.10205079	7.96818887
2.10937501	7.73061927
2.11669923	7.32816933
2.12402345	7.46426774
2.13134767	7.57174473
2.13867188	6.73050254
2.14599610	6.43094107
2.15332032	5.93296390
2.16064454	1.68702981
2.16796876	-12.96771543
2.17529298	3.61814771
2.18261720	5.78399362
2.18994142	3.45376968
2.19726563	-8.82670845
2.20458985	-0.08024817
2.21191407	3.81136671
2.21923829	-0.71890539
2.22656251	-5.30442510
2.23388673	3.41550258
2.24121095	3.76530100
2.24853517	3.74752942
2.25585938	2.92483850
2.26318360	-5.10091917
2.27050782	-4.35886866
2.27783204	2.11513071
2.28515626	3.76445435
2.29248048	4.45922350
2.29980470	3.74033837
2.30712892	3.10849056
2.31445313	3.34082602
2.32177735	1.49535050
2.32910157	1.31499429
2.33642579	2.27552991
2.34375001	-1.23468213
2.35107423	-1.44813338
2.35839845	0.82016916
2.36572267	-3.25299342
2.37304688	-2.45852921
2.38037110	-0.41669587
2.38769532	-4.90557546
2.39501954	-14.92422838
2.40234376	-3.05233330
2.40966798	-0.19793817
2.41699220	0.87342431
2.42431642	-0.41035050
2.43164064	-1.52996753
2.43896485	-1.27813676
2.44628907	-0.97091486
2.45361329	-1.65808988
2.46093751	-7.47599050
2.46826173	-12.24744900
2.47558595	-2.88730030
2.48291017	-1.41099815
2.49023439	-0.50559294
2.49755860	0.15485826
2.50488282	-1.11621636
2.51220704	-1.68098956
2.51953126	-0.86569638
2.52685548	-0.87383133
2.53417970	-1.06572977
2.54150392	-1.63724872
2.54882814	-1.39897273
2.55615235	-0.60922072
2.56347657	-1.33496100
2.57080079	-2.25073127
2.57812501	-2.56613169
2.58544923	-3.35310664
2.59277345	-2.59272636
2.60009767	-2.61857169
2.60742189	-3.82106001
2.61474610	-3.89922548
2.62207032	-5.16154648
2.62939454	-9.67420484
2.63671876	-37.03031767
2.64404298	-15.69225510
2.65136720	-15.75962394
2.65869142	-8.11251922
2.66601564	-6.79168766
2.67333985	-4.37179274
2.68066407	-5.03231922
2.68798829	-10.80061422
2.69531251	-6.11902063
2.70263673	-3.28917768
2.70996095	-4.05663104
2.71728517	-5.10750026
2.72460939	-4.67387029
2.73193361	-4.95319510
2.73925782	-5.42767565
2.74658204	-6.91810617
2.75390626	-6.29794217
2.76123048	-6.26435316
2.76855470	-13.18067544
2.77587892	-16.00126169
2.78320314	-21.38464509
2.79052736	-9.36481316
2.79785157	-6.50908921
2.80517579	-5.37088352
2.81250001	-5.50409335
2.81982423	-6.34876070
2.82714845	-6.10826883
2.83447267	-4.33995117
2.84179689	-4.52296025
2.84912111	-5.64320061
2.85644532	-5.88959397
2.86376954	-5.78154022
2.87109376	-6.69883245
2.87841798	-14.04231792
2.88574220	-17.99185002
2.89306642	-10.11572232
2.90039064	-8.50668542
2.90771486	-7.02411124
2.91503907	-6.01914676
2.92236329	-7.39000980
2.92968751	-9.20393582
2.93701173	-8.33444265
2.94433595	-7.04733596
2.95166017	-7.52066164
2.95898439	-12.12076774
2.96630861	-16.69242226
2.97363282	-19.72498069
2.98095704	-16.89307029
2.98828126	-9.35691325
2.99560548	-12.35775459
3.00292970	-12.62148330
3.01025392	-15.82652757
3.01757814	-17.89820944
3.02490236	-14.28564931
3.03222658	-13.43577580
3.03955079	-14.38722450
3.04687501	-22.86938977
3.05419923	-9.94890972
3.06152345	-9.14456177
3.06884767	-10.87902999
3.07617189	-10.28809213
3.08349611	-8.26463021
3.09082033	-9.33873544
3.09814454	-11.66383277
3.10546876	-10.83722287
3.11279298	-11.17756360
3.12011720	-15.45700284
3.12744142	-19.33410377
3.13476564	-16.54593524
3.14208986	-25.26498290
3.14941408	-15.75273757
3.15673829	-17.79250013
3.16406251	-22.17194260
3.17138673	-23.79025640
3.17871095	-13.01722357
3.18603517	-14.68374544
3.19335939	-15.42855735
3.20068361	-12.74232835
3.20800783	-10.92040253
3.21533204	-10.04684536
3.22265626	-13.50109888
3.22998048	-28.38610031
3.23730470	-18.29475888
3.24462892	-14.11975337
3.25195314	-13.19189927
3.25927736	-13.83422577
3.26660158	-14.64168277
3.27392579	-11.94073983
3.28125001	-11.17252106
3.28857423	-13.92451552
3.29589845	-15.53068427
3.30322267	-16.01758663
3.31054689	-15.43216290
3.31787111	-12.93413508
3.32519533	-15.32687791
3.33251955	-32.55343768
3.33984376	-22.18517620
3.34716798	-16.90233162
3.35449220	-15.59607933
3.36181642	-14.97567980
3.36914064	-13.16201880
3.37646486	-14.19508839
3.38378908	-17.44849836
3.39111330	-18.28982615
3.39843751	-15.65995323
3.40576173	-15.26075965
3.41308595	-16.16218986
3.42041017	-16.62661261
3.42773439	-17.51152308
3.43505861	-14.44090400
3.44238283	-14.41348715
3.44970705	-12.27998728
3.45703126	-13.62317375
3.46435548	-16.80823929
3.47167970	-18.23288132
3.47900392	-16.50353440
3.48632814	-15.53052990
3.49365236	-17.60644240
3.50097658	-18.98867620
3.50830080	-14.84802431
3.51562501	-14.45260814
3.52294923	-16.26805148
3.53027345	-15.28207667
3.53759767	-18.39728562
3.54492189	-26.41685552
3.55224611	-20.06919744
3.55957033	-15.38816232
3.56689455	-14.96292445
3.57421876	-19.78472347
3.58154298	-19.31383495
3.58886720	-16.75056417
3.59619142	-29.09067246
3.60351564	-19.87789466
3.61083986	-20.50714981
3.61816408	-42.30013464
3.62548830	-17.22195238
3.63281252	-22.73905788
3.64013673	-18.23638460
3.64746095	-39.43531186
3.65478517	-17.79365491
3.66210939	-27.39880902
3.66943361	-22.75588092
3.67675783	-35.29419203
3.68408205	-28.27653400
3.69140627	-31.50407143
3.69873048	-19.88744784
3.70605470	-15.67683239
3.71337892	-17.67116839
3.72070314	-24.62370866
3.72802736	-30.52904254
3.73535158	-24.89140056
3.74267580	-21.55449502
3.75000002	-18.60033088
3.75732423	-17.69927031
3.76464845	-19.23266451
3.77197267	-38.43552413
3.77929689	-17.25550906
3.78662111	-21.83527532
3.79394533	-22.94868843
3.80126955	-24.46593041
3.80859377	-28.69772079
3.81591798	-31.02683826
3.82324220	-21.90649251
3.83056642	-26.46629050
3.83789064	-21.55823339
3.84521486	-28.51197986
3.85253908	-21.60712901
3.85986330	-23.75077862
3.86718752	-22.71735317
3.87451173	-22.36454217
3.88183595	-27.70496734
3.88916017	-24.38339813
3.89648439	-24.34197689
3.90380861	-20.13780040
3.91113283	-19.80144538
3.91845705	-19.23568455
3.92578127	-18.33272223
3.93310549	-23.84449011
3.94042970	-21.28752971
3.94775392	-27.57423123
3.95507814	-23.69155314
3.96240236	-33.82037363
3.96972658	-17.11702893
3.97705080	-22.41206707
3.98437502	-19.68898323
3.99169924	-28.11251948
3.99902345	-20.04181601
4.00634767	-36.06615376
4.01367189	-20.16390815
4.02099611	-33.13268540
4.02832033	-18.88037355
4.03564455	-21.86331234
4.04296877	-20.71345779
4.05029299	-19.35639191
4.05761720	-27.08898747
4.06494142	-21.12569149
4.07226564	-23.44662447
4.07958986	-19.73284934
4.08691408	-44.28615985
4.09423830	-24.93764536
4.10156252	-22.60559196
4.10888674	-18.52920186
4.11621095	-19.50334104
4.12353517	-20.48126505
4.13085939	-32.37964636
4.13818361	-29.01867830
4.14550783	-22.94265527
4.15283205	-25.97609534
4.16015627	-21.33538543
4.16748049	-19.89565877
4.17480470	-21.30426503
4.18212892	-28.93434128
4.18945314	-20.28468602
4.19677736	-23.10282742
4.20410158	-30.66687974
4.21142580	-24.42294266
4.21875002	-27.36316850
4.22607424	-19.80195711
4.23339846	-43.30936246
4.24072267	-20.80677160
4.24804689	-36.23432963
4.25537111	-26.18410801
4.26269533	-23.82044692
4.27001955	-16.40163978
4.27734377	-28.92039417
4.28466799	-19.91525330
4.29199221	-19.70517674
4.29931642	-16.56677571
4.30664064	-23.94418055
4.31396486	-37.82425358
4.32128908	-26.42944070
4.32861330	-24.25054022
4.33593752	-40.06096966
4.34326174	-19.53788782
4.35058596	-17.96200369
4.35791017	-32.56111162
4.36523439	-20.56937705
4.37255861	-22.96288511
4.37988283	-19.55188352
4.38720705	-24.97265827
4.39453127	-22.89075238
4.40185549	-23.60369235
4.40917971	-19.10706605
4.41650392	-20.97355334
4.42382814	-19.82524680
4.43115236	-22.72262397
4.43847658	-21.85616838
4.44580080	-20.47645326
4.45312502	-23.62070737
4.46044924	-25.86965429
4.46777346	-19.67445318
4.47509767	-22.52646171
4.48242189	-27.56473805
4.48974611	-19.23941124
4.49707033	-24.24595034
4.50439455	-18.21262616
4.51171877	-23.28609023
4.51904299	-21.03089652
4.52636721	-25.73348635
4.53369143	-27.78584285
4.54101564	-25.10364919
4.54833986	-23.48664816
4.55566408	-31.28427972
4.56298830	-26.32180933
4.57031252	-21.68329973
4.57763674	-25.69041984
4.58496096	-20.14075986
4.59228518	-15.06258072
4.59960939	-25.33658614
4.60693361	-22.87859958
4.61425783	-24.89802257
4.62158205	-20.26698344
4.62890627	-20.62543534
4.63623049	-21.44616101
4.64355471	-24.16160181
4.65087893	-20.40404601
4.65820314	-23.02919439
4.66552736	-18.48514895
4.67285158	-30.18429705
4.68017580	-20.15511975
4.68750002	-22.09320523
4.69482424	-23.50155545
4.70214846	-20.22350972
4.70947268	-20.55705096
4.71679689	-24.75273690
4.72412111	-18.20613332
4.73144533	-25.66879546
4.73876955	-25.94650462
4.74609377	-20.56870329
4.75341799	-23.89173372
4.76074221	-19.77416091
4.76806643	-16.33998500
4.77539064	-30.51288497
4.78271486	-18.55035795
4.79003908	-25.64142822
4.79736330	-26.21540492
4.80468752	-30.36387078
4.81201174	-25.09978677
4.81933596	-19.65004068
4.82666018	-21.80830362
4.83398440	-18.71368944
4.84130861	-26.41424286
4.84863283	-16.82127450
4.85595705	-21.06080627
4.86328127	-24.32264270
4.87060549	-38.87602461
4.87792971	-22.11997818
4.88525393	-18.36672154
4.89257815	-27.25847948
4.89990236	-20.93574555
4.90722658	-25.23669744
4.91455080	-24.14770520
4.92187502	-26.41896090
4.92919924	-23.77227167
4.93652346	-21.38722670
4.94384768	-19.20627971
4.95117190	-16.88778770
4.95849611	-26.43137958
4.96582033	-15.88787911
4.97314455	-22.02882806
4.98046877	-26.60311767
4.98779299	-26.67594681
4.99511721	-21.06940421
5.00244143	-32.27076582
5.00976565	-22.40181949
5.01708986	-36.05243789
5.02441408	-24.03132790
5.03173830	-25.08959684
5.03906252	-22.70335825
5.04638674	-31.38364439
5.05371096	-23.63048240
5.06103518	-26.72027312
5.06835940	-20.62895667
5.07568361	-19.49799994
5.08300783	-14.97310600
5.09033205	-18.89052364
5.09765627	-22.31006661
5.10498049	-21.29281512
5.11230471	-28.30114351
5.11962893	-24.55954450
5.12695315	-21.23423397
5.13427737	-25.95501469
5.14160158	-31.86709868
5.14892580	-19.31300550
5.15625002	-19.06987373
5.16357424	-30.14077014
5.17089846	-22.89121536
5.17822268	-30.96769953
5.18554690	-23.68300488
5.19287112	-26.95262036
5.20019533	-27.18207996
5.20751955	-20.67432791
5.21484377	-24.56480485
5.22216799	-26.47035832
5.22949221	-25.95148517
5.23681643	-24.98363940
5.24414065	-30.41364376
5.25146487	-25.84766504
5.25878908	-33.07542027
5.26611330	-26.34936335
5.27343752	-31.66551079
5.28076174	-30.26978969
5.28808596	-35.72516001
5.29541018	-39.00783906
5.30273440	-25.89624122
5.31005862	-26.35629886
5.31738283	-32.72609609
5.32470705	-27.49550141
5.33203127	-19.57065092
5.33935549	-25.67524127
5.34667971	-18.29332597
5.35400393	-18.97677099
5.36132815	-16.70401333
5.36865237	-21.55108214
5.37597658	-20.07435718
5.38330080	-22.70363367
5.39062502	-23.48994522
5.39794924	-30.19500391
5.40527346	-35.64882922
5.41259768	-25.03769315
5.41992190	-25.63885254
5.42724612	-20.23567248
5.43457034	-24.41343754
5.44189455	-16.79497538
5.44921877	-19.68979674
5.45654299	-21.84752902
5.46386721	-22.79564550
5.47119143	-20.96827885
5.47851565	-21.44714491
5.48583987	-26.80221547
5.49316409	-20.24663814
5.50048830	-21.95532024
5.50781252	-32.88684910
5.51513674	-23.69339161
5.52246096	-21.56415987
5.52978518	-18.19119994
5.53710940	-30.30281301
5.54443362	-24.12714491
5.55175784	-19.96609849
5.55908205	-18.49859144
5.56640627	-27.60202868
5.57373049	-18.53031241
5.58105471	-29.03802232
5.58837893	-22.58626227
5.59570315	-21.69189425
5.60302737	-31.33726971
5.61035159	-34.04621156
5.61767580	-25.39363243
5.62500002	-27.27190850
5.63232424	-18.89683473
5.63964846	-31.25613637
5.64697268	-31.18301186
5.65429690	-22.92636485
5.66162112	-22.83836708
5.66894534	-25.02465223
5.67626955	-23.62965066
5.68359377	-36.62655156
5.69091799	-21.00484172
5.69824221	-23.18529721
5.70556643	-26.58469191
5.71289065	-27.02947257
5.72021487	-22.53054555
5.72753909	-23.65565761
5.73486331	-16.83602414
5.74218752	-14.89620163
5.74951174	-28.42561342
5.75683596	-19.01936834
5.76416018	-29.94849386
5.77148440	-26.16566629
5.77880862	-21.69389262
5.78613284	-37.49366488
5.79345706	-24.78052103
5.80078127	-31.05056751
5.80810549	-28.05030337
5.81542971	-20.66330060
5.82275393	-24.45493555
5.83007815	-38.18892005
5.83740237	-35.89372477
5.84472659	-23.40033622
5.85205081	-28.35071753
5.85937502	-26.70350892
5.86669924	-23.60014405
5.87402346	-25.73040404
5.88134768	-24.73287269
5.88867190	-25.87257683
5.89599612	-26.68806018
5.90332034	-27.54933246
5.91064456	-27.51724249
5.91796877	-22.76125726
5.92529299	-25.87931177
5.93261721	-23.88319207
5.93994143	-19.71843865
5.94726565	-29.28838194
5.95458987	-36.81782829
5.96191409	-23.53703715
5.96923831	-32.97775305
5.97656252	-27.77788558
5.98388674	-26.85936738
5.99121096	-26.49259291
5.99853518	-22.37679165
6.00585940	-19.36086465
6.01318362	-22.62445396
6.02050784	-24.24977497
6.02783206	-19.38302982
6.03515628	-21.57108378
6.04248049	-24.35998003
6.04980471	-21.47343210
6.05712893	-42.74144910
6.06445315	-18.07628793
6.07177737	-18.26064633
6.07910159	-18.38144142
6.08642581	-17.63127899
6.09375003	-19.35896264
6.10107424	-18.94355087
6.10839846	-28.80328711
6.11572268	-23.80120797
6.12304690	-24.08388666
6.13037112	-28.12967633
6.13769534	-23.57061691
6.14501956	-23.15560615
6.15234378	-27.31026602
6.15966799	-19.49527314
6.16699221	-31.20023859
6.17431643	-19.07455486
6.18164065	-28.91846585
6.18896487	-25.54175645
6.19628909	-27.17910030
6.20361331	-30.51052223
6.21093753	-23.28963726
6.21826174	-23.51698960
6.22558596	-16.39694510
6.23291018	-19.84829909
6.24023440	-18.92624751
6.24755862	-31.18274538
6.25488284	-21.27715282
6.26220706	-19.15042386
6.26953128	-22.10988345
6.27685549	-32.15880824
6.28417971	-24.13720629
6.29150393	-21.29373778
6.29882815	-36.18495739
6.30615237	-20.85536115
6.31347659	-21.48837768
6.32080081	-28.59778196
6.32812503	-23.70282178
6.33544925	-21.54656357
6.34277346	-21.13653324
6.35009768	-29.01384211
6.35742190	-23.18314802
6.36474612	-26.40363135
6.37207034	-18.88824948
6.37939456	-30.60108917
6.38671878	-24.55387907
6.39404300	-25.08430635
6.40136721	-37.57690526
