# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:55:20
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-326.90000000	0.00000000
-326.86666667	-0.00000003
-326.83333334	-0.00000000
-326.80000000	0.00000019
-326.76666667	-0.00000012
-326.73333334	-0.00000055
-326.70000000	0.00000026
-326.66666667	-0.00000126
-326.63333334	-0.00000183
-326.60000001	0.00000010
-326.56666667	0.00000046
-326.53333334	-0.00000200
-326.50000001	-0.00000315
-326.46666667	-0.00000477
-326.43333334	-0.00000054
-326.40000001	0.00000342
-326.36666667	0.00000074
-326.33333334	0.00000529
-326.30000001	0.00000410
-326.26666667	0.00000584
-326.23333334	-0.00000286
-326.20000001	-0.00000042
-326.16666667	0.00000230
-326.13333334	-0.00000003
-326.10000001	0.00000516
-326.06666667	0.00000728
-326.03333334	0.00000823
-326.00000001	0.00000721
-325.96666667	0.00001239
-325.93333334	0.00001375
-325.90000001	-0.00001176
-325.86666667	0.00001241
-325.83333334	0.00002897
-325.80000001	0.00003257
-325.76666667	0.00002851
-325.73333334	0.00001195
-325.70000001	-0.00000611
-325.66666667	0.00001067
-325.63333334	0.00002861
-325.60000001	-0.00004189
-325.56666667	-0.00002453
-325.53333334	0.00001246
-325.50000001	0.00000899
-325.46666668	0.00005756
-325.43333334	0.00004854
-325.40000001	0.00006692
-325.36666668	0.00001014
-325.33333334	0.00003249
-325.30000001	0.00002712
-325.26666668	0.00001255
-325.23333334	0.00000729
-325.20000001	0.00002055
-325.16666668	0.00003269
-325.13333334	0.00002475
-325.10000001	0.00009385
-325.06666668	0.00010589
-325.03333334	0.00014481
-325.00000001	0.00007220
-324.96666668	0.00008032
-324.93333334	0.00000170
-324.90000001	0.00004143
-324.86666668	0.00007444
-324.83333334	0.00003078
-324.80000001	0.00008958
-324.76666668	0.00004878
-324.73333334	0.00012930
-324.70000001	0.00018392
-324.66666668	0.00022345
-324.63333334	0.00021680
-324.60000001	0.00022437
-324.56666668	0.00011852
-324.53333334	0.00020096
-324.50000001	0.00020475
-324.46666668	0.00014914
-324.43333334	0.00029172
-324.40000001	0.00024924
-324.36666668	0.00026482
-324.33333335	0.00020958
-324.30000001	0.00024934
-324.26666668	0.00020045
-324.23333335	0.00016695
-324.20000001	0.00025713
-324.16666668	0.00014160
-324.13333335	0.00026817
