# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:52:51
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-31.59534632
0.00732601	-36.55125788
0.01465201	-24.85156696
0.02197802	-23.93138085
0.02930403	-32.29690327
0.03663004	-30.16130276
0.04395604	-22.48859113
0.05128205	-20.51864780
0.05860806	-26.28135277
0.06593407	-20.74267911
0.07326007	-17.76580579
0.08058608	-25.13804359
0.08791209	-17.13875254
0.09523810	-11.28687572
0.10256410	-12.79336082
0.10989011	-15.42604189
0.11721612	-9.42073036
0.12454212	-8.66823219
0.13186813	-10.94057827
0.13919414	-8.23158436
0.14652015	-6.64387723
0.15384615	-8.29708783
0.16117216	-7.37174269
0.16849817	-5.31863481
0.17582418	-5.93566061
0.18315018	-6.83242521
0.19047619	-5.41137076
0.19780220	-4.44928729
0.20512821	-4.62296568
0.21245421	-4.93339779
0.21978022	-3.94431850
0.22710623	-2.68960206
0.23443223	-3.04049300
0.24175824	-3.86583948
0.24908425	-2.60285267
0.25641026	-1.99999322
0.26373626	-2.90145769
0.27106227	-2.19364117
0.27838828	-1.08798938
0.28571429	-1.90486825
0.29304029	-2.20965369
0.30036630	-0.86511080
0.30769231	-1.05349185
0.31501832	-1.99281533
0.32234432	-1.03268790
0.32967033	-0.53119666
0.33699634	-1.36071251
0.34432234	-1.14363852
0.35164835	-0.29927405
0.35897436	-0.60855836
0.36630037	-0.96983452
0.37362637	-0.49527865
0.38095238	-0.40835780
0.38827839	-0.40647671
0.39560440	0.08156247
0.40293040	0.07361000
0.41025641	-0.26688700
0.41758242	0.06417482
0.42490843	0.12913573
0.43223443	-0.49924284
0.43956044	-0.38727404
0.44688645	0.02613950
0.45421245	-0.42146193
0.46153846	-0.58261546
0.46886447	-0.15905059
0.47619048	-0.51796347
0.48351648	-0.76787993
0.49084249	-0.13748755
0.49816850	-0.31206052
0.50549451	-0.80866852
0.51282051	-0.10641665
0.52014652	-0.01904540
0.52747253	-0.94918183
0.53479854	-0.52155873
0.54212454	-0.02293594
0.54945055	-1.68062226
0.55677656	-3.56279871
0.56410256	-2.10227170
0.57142857	-1.14460812
0.57875458	-1.17052754
0.58608059	-1.06601455
0.59340659	-1.15214653
0.60073260	-1.26419333
