# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:54:03
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-28.50479569
0.00732601	-32.15159604
0.01465201	-29.78562385
0.02197802	-31.28106888
0.02930403	-31.72958260
0.03663004	-31.48520469
0.04395604	-29.76992475
0.05128205	-30.33618869
0.05860806	-32.13390733
0.06593407	-30.69016855
0.07326007	-25.69327105
0.08058608	-21.59150167
0.08791209	-18.53411961
0.09523810	-16.44055418
0.10256410	-15.10392441
0.10989011	-13.99287158
0.11721612	-13.05043921
0.12454212	-12.10823613
0.13186813	-11.16546145
0.13919414	-10.48673001
0.14652015	-10.00417696
0.15384615	-9.38207186
0.16117216	-8.83372659
0.16849817	-8.41692989
0.17582418	-7.99103823
0.18315018	-7.68974747
0.19047619	-7.48697000
0.19780220	-7.19753326
0.20512821	-6.78691471
0.21245421	-6.27713323
0.21978022	-5.82707057
0.22710623	-5.48714411
0.23443224	-5.31195039
0.24175824	-5.20575204
0.24908425	-5.05375535
0.25641026	-4.79639836
0.26373626	-4.52949399
0.27106227	-4.27724397
0.27838828	-4.10968166
0.28571429	-4.06457035
0.29304029	-4.02677416
0.30036630	-3.98258330
0.30769231	-3.91768408
0.31501832	-3.86862720
0.32234432	-3.87267878
0.32967033	-3.91003537
0.33699634	-3.95485412
0.34432235	-3.97906115
0.35164835	-3.99044879
0.35897436	-4.03199981
0.36630037	-4.08756939
0.37362637	-4.11926667
0.38095238	-4.07855495
0.38827839	-3.95998745
0.39560440	-3.81303285
0.40293040	-3.74912763
0.41025641	-3.81737897
0.41758242	-3.99893766
0.42490843	-4.23179467
0.43223443	-4.40647746
0.43956044	-4.50153481
0.44688645	-4.57102077
0.45421246	-4.69272056
0.46153846	-4.89900151
0.46886447	-5.13736323
0.47619048	-5.30862583
0.48351648	-5.40188377
0.49084249	-5.48415022
0.49816850	-5.60695447
0.50549451	-5.70291637
0.51282051	-5.71866519
0.52014652	-5.65682536
0.52747253	-5.66389100
0.53479854	-5.92691875
0.54212454	-6.57908679
0.54945055	-7.46351428
