# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:49:52
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
1.72161173	-36.57355402
1.72893774	-27.11819461
1.73626374	-24.81137204
1.74358975	-24.30545351
1.75091576	-24.35356605
1.75824177	-25.58540893
1.76556777	-26.68136593
1.77289378	-25.92128460
1.78021979	-25.04063984
1.78754580	-25.71969120
1.79487180	-29.12622281
1.80219781	-29.86343107
1.80952382	-26.51940887
1.81684982	-26.33088495
1.82417583	-27.01706733
1.83150184	-26.33096581
1.83882785	-26.71084754
1.84615385	-27.30889023
1.85347986	-26.79734275
1.86080587	-28.59260291
1.86813188	-36.34325059
1.87545788	-32.74614956
1.88278389	-28.22209115
1.89010990	-28.10068089
1.89743591	-28.59314719
1.90476191	-27.91650085
1.91208792	-29.47809201
1.91941393	-35.43523797
1.92673993	-33.03099748
1.93406594	-29.59589472
1.94139195	-29.30084184
1.94871796	-29.45002224
1.95604396	-29.58068852
1.96336997	-30.09586438
1.97069598	-30.48137438
1.97802199	-30.74082732
1.98534799	-30.75105215
1.99267400	-30.74793624
2.00000001	-30.92532071
2.00732602	-31.14769802
2.01465202	-31.92313217
2.02197803	-32.03892308
2.02930404	-31.60782894
2.03663005	-33.53948172
2.04395605	-36.07243685
2.05128206	-33.22188500
2.05860807	-31.98149497
2.06593407	-33.03360803
2.07326008	-35.04333872
2.08058609	-35.38325153
2.08791210	-33.72965487
2.09523810	-33.37045391
2.10256411	-33.89313498
2.10989012	-33.76729561
2.11721613	-34.19894850
2.12454213	-34.73519020
2.13186814	-34.59288839
2.13919415	-34.98972224
2.14652016	-34.89728353
2.15384616	-35.44349024
2.16117217	-40.41903670
2.16849818	-55.21155314
2.17582419	-39.76173627
2.18315019	-37.29205135
2.19047620	-38.99639954
2.19780221	-50.07992327
2.20512821	-42.01878940
2.21245422	-38.51515163
2.21978023	-43.38796600
2.22710624	-48.89516917
2.23443224	-39.67165950
2.24175825	-39.14503838
2.24908426	-39.34573511
2.25641027	-40.30860154
2.26373627	-48.00054946
2.27106228	-48.19857929
2.27838829	-41.31266321
2.28571430	-40.59379351
2.29304030	-40.36396993
2.30036631	-40.29042228
2.30769232	-40.74042451
2.31501832	-41.07386931
2.32234433	-42.58008987
2.32967034	-43.50400857
2.33699635	-43.65172277
2.34432235	-47.02232239
2.35164836	-46.06250623
2.35897437	-44.11663527
2.36630038	-47.68922539
2.37362638	-48.72541641
2.38095239	-45.77133417
2.38827840	-49.23578489
2.39560441	-65.47855023
2.40293041	-48.60355574
2.41025642	-46.06866377
2.41758243	-46.13627514
2.42490844	-46.77953479
2.43223444	-47.11840517
2.43956045	-46.94780428
2.44688646	-46.94826218
2.45421246	-48.34307889
2.46153847	-54.51185244
2.46886448	-60.72396203
2.47619049	-49.82816307
2.48351649	-48.33954550
2.49084250	-49.27758679
2.49816851	-49.11689513
2.50549452	-48.97258921
2.51282052	-49.27924028
2.52014653	-49.60644262
2.52747254	-50.75441202
2.53479855	-51.46275774
2.54212455	-50.97861149
2.54945056	-51.04170187
2.55677657	-51.77277999
2.56410258	-52.55288554
2.57142858	-53.52724647
2.57875459	-54.51419196
2.58608060	-54.94311585
2.59340660	-54.41545795
2.60073261	-54.65606614
2.60805862	-55.37764922
2.61538463	-55.13528075
2.62271063	-56.81701898
2.63003664	-61.33218737
2.63736265	-69.73020672
2.64468866	-70.04146213
2.65201466	-67.01252504
2.65934067	-61.24919029
2.66666668	-60.83875258
2.67399269	-61.85619187
2.68131869	-63.22092224
2.68864470	-72.66448841
2.69597071	-68.80645824
2.70329671	-62.38491438
2.71062272	-63.22824405
2.71794873	-67.18424248
2.72527474	-68.96329220
2.73260074	-71.57765190
2.73992675	-78.42814154
2.74725276	-76.06755194
2.75457877	-69.43214988
2.76190477	-73.62999150
2.76923078	-69.03651537
2.77655679	-67.72020027
2.78388280	-74.60806002
2.79120880	-70.97144291
2.79853481	-68.15789095
2.80586082	-66.43643193
2.81318683	-68.09867298
2.82051283	-66.02103359
2.82783884	-62.42859962
2.83516485	-61.54740214
2.84249085	-61.19118099
2.84981686	-60.43574161
2.85714287	-62.20429996
2.86446888	-63.85897130
2.87179488	-61.99106783
2.87912089	-64.84176565
2.88644690	-78.57144973
2.89377291	-63.53677735
2.90109891	-59.36835708
2.90842492	-59.17864422
2.91575093	-59.15249291
2.92307694	-58.91524463
2.93040294	-59.21523760
2.93772895	-58.02109288
2.94505496	-56.54536687
2.95238096	-58.13422681
2.95970697	-63.00054869
2.96703298	-70.96645338
2.97435899	-76.36204174
2.98168499	-65.11462596
2.98901100	-59.73494682
2.99633701	-57.52558157
3.00366302	-61.89698774
3.01098902	-67.70165281
3.01831503	-72.98732213
3.02564104	-64.49407380
3.03296705	-58.95194059
3.04029305	-60.99295270
3.04761906	-68.68035222
3.05494507	-59.63727981
3.06227108	-54.78530247
3.06959708	-54.39574101
3.07692309	-55.17494429
3.08424910	-55.59436384
3.09157510	-54.60516544
3.09890111	-53.81961900
3.10622712	-54.32144820
3.11355313	-54.88350030
3.12087913	-55.86657259
3.12820514	-59.19066403
3.13553115	-65.36656736
3.14285716	-73.36944547
3.15018316	-58.79799043
3.15750917	-56.87401188
3.16483518	-62.49234412
3.17216119	-73.13371718
3.17948719	-60.51184880
3.18681320	-57.75953515
3.19413921	-55.14209619
3.20146522	-54.51394187
3.20879122	-56.05645993
3.21611723	-55.25334989
3.22344324	-54.33830373
3.23076924	-59.63604699
3.23809525	-62.64229703
3.24542126	-55.26945707
3.25274727	-53.38956501
3.26007327	-53.99075085
3.26739928	-54.58766260
3.27472529	-54.95471765
3.28205130	-54.78884710
3.28937730	-54.34515733
3.29670331	-54.39929563
3.30402932	-54.66712670
3.31135533	-54.67586065
3.31868133	-54.52895910
3.32600734	-56.89785111
3.33333335	-69.83352461
3.34065935	-61.79291197
3.34798536	-57.35585301
3.35531137	-55.31732256
3.36263738	-54.24446853
3.36996338	-54.70517734
3.37728939	-55.31681952
3.38461540	-54.33896007
3.39194141	-53.75343930
3.39926741	-54.03967425
3.40659342	-54.29466369
3.41391943	-55.06799292
3.42124544	-55.23026910
3.42857144	-54.59529943
3.43589745	-54.62969586
3.44322346	-54.56768298
3.45054947	-54.71185215
3.45787547	-55.81011318
3.46520148	-55.88805584
3.47252749	-55.43523470
3.47985349	-55.69613405
3.48717950	-56.42848893
3.49450551	-58.35677410
3.50183152	-57.85252323
3.50915752	-55.55941486
3.51648353	-55.87470973
3.52380954	-55.37324013
3.53113555	-55.92399502
3.53846155	-63.69739769
3.54578756	-65.17049596
3.55311357	-57.85654139
3.56043958	-58.14321703
3.56776558	-58.95352823
3.57509159	-56.65193966
3.58241760	-56.78054764
3.58974361	-58.70462819
3.59706961	-61.16478306
3.60439562	-69.74202600
3.61172163	-63.19025890
3.61904763	-60.52784442
3.62637364	-59.61028617
3.63369965	-58.89403501
3.64102566	-60.83024743
3.64835166	-66.35987567
3.65567767	-77.52154713
3.66300368	-73.04342547
3.67032969	-64.79976441
3.67765569	-61.91185257
3.68498170	-62.16858724
3.69230771	-62.60948815
3.69963372	-61.65943075
3.70695972	-59.49925960
3.71428573	-58.74590225
3.72161174	-59.48638199
3.72893774	-59.93509829
3.73626375	-59.68480999
3.74358976	-59.12210609
3.75091577	-59.61448547
3.75824177	-61.41131695
3.76556778	-63.67048034
3.77289379	-61.72478569
3.78021980	-59.40766718
3.78754580	-62.30923109
3.79487181	-69.53399523
3.80219782	-69.57467616
3.80952383	-76.24029351
3.81684983	-75.63085576
3.82417584	-68.10861704
3.83150185	-65.08085055
3.83882786	-61.14198195
3.84615386	-61.35095820
3.85347987	-63.66886957
3.86080588	-64.13086692
3.86813188	-63.00866308
3.87545789	-63.72824347
3.88278390	-64.56438457
3.89010991	-63.62222252
3.89743591	-62.38706944
3.90476192	-63.51559359
3.91208793	-65.57318389
3.91941394	-64.77481708
3.92673994	-64.93225602
3.93406595	-63.80711966
3.94139196	-63.20217281
3.94871797	-67.61593715
3.95604397	-81.19943364
3.96336998	-73.24299688
3.97069599	-72.53415230
3.97802199	-76.86791160
3.98534800	-78.49805421
3.99267401	-70.36818031
4.00000002	-67.57306162
4.00732602	-68.48465413
4.01465203	-70.13915111
4.02197804	-66.85605758
4.02930405	-65.59233992
4.03663005	-71.56190619
4.04395606	-69.65231522
4.05128207	-66.86825791
4.05860808	-69.89795729
4.06593408	-74.61099715
4.07326009	-69.66829656
4.08058610	-66.25489108
4.08791211	-66.87859078
4.09523811	-68.18356640
4.10256412	-67.84634494
4.10989013	-66.17030283
4.11721613	-67.31849919
4.12454214	-68.41249678
4.13186815	-69.43237551
4.13919416	-73.95941143
4.14652016	-67.58822129
4.15384617	-67.72144651
4.16117218	-76.22760447
4.16849819	-82.49667147
4.17582419	-81.05854837
4.18315020	-70.33234008
4.19047621	-73.78860588
4.19780222	-72.60794366
4.20512822	-80.50317848
4.21245423	-71.19901254
4.21978024	-70.58713686
4.22710625	-76.74733661
4.23443225	-80.14806111
4.24175826	-80.67534134
4.24908427	-71.85698978
4.25641027	-71.06089459
4.26373628	-67.60176858
4.27106229	-65.17063511
4.27838830	-69.45515661
4.28571430	-78.06274890
4.29304031	-70.92269474
4.30036632	-74.45726629
4.30769233	-73.87561288
4.31501833	-76.58973496
4.32234434	-71.56266765
4.32967035	-72.60761081
4.33699636	-70.23513198
4.34432236	-71.09017708
4.35164837	-79.41205561
4.35897438	-97.54481422
4.36630038	-79.94528781
4.37362639	-83.25963976
4.38095240	-80.41950811
4.38827841	-74.71594741
4.39560441	-72.68736084
4.40293042	-73.62371056
4.41025643	-94.38602671
4.41758244	-96.93941453
4.42490844	-76.24832081
4.43223445	-72.60889626
4.43956046	-69.98945015
4.44688647	-69.19033005
4.45421247	-82.61490472
4.46153848	-72.62271854
4.46886449	-71.18287496
4.47619050	-83.39750816
4.48351650	-75.62726457
4.49084251	-71.61124156
4.49816852	-79.04213746
4.50549452	-77.72472591
4.51282053	-83.79006935
4.52014654	-73.12672644
4.52747255	-72.84274697
4.53479855	-81.35945860
4.54212456	-73.39673399
4.54945057	-74.09891873
4.55677658	-75.84530613
4.56410258	-71.22025125
4.57142859	-78.61023105
4.57875460	-75.07219930
4.58608061	-68.70706878
4.59340661	-70.54603064
4.60073262	-74.94071875
4.60805863	-76.72223217
4.61538464	-82.93217290
4.62271064	-77.13536547
4.63003665	-75.11983241
4.63736266	-85.47492036
4.64468866	-82.02005014
4.65201467	-76.39445434
4.65934068	-77.28052444
4.66666669	-69.63734136
4.67399269	-93.43679622
4.68131870	-71.41172330
4.68864471	-77.96312669
4.69597072	-77.21727047
4.70329672	-73.93991090
4.71062273	-78.92511361
4.71794874	-75.48379174
4.72527475	-78.04053733
4.73260075	-79.76085037
4.73992676	-79.44281185
4.74725277	-77.18098816
4.75457877	-77.98175420
4.76190478	-80.27981995
4.76923079	-74.41929929
4.77655680	-75.36370150
4.78388280	-73.08441257
4.79120881	-77.50235988
4.79853482	-78.97515821
4.80586083	-71.04415308
4.81318683	-69.57822292
4.82051284	-82.50532764
4.82783885	-71.94459042
4.83516486	-78.64722073
4.84249086	-72.79405038
4.84981687	-76.54423253
4.85714288	-80.62537322
4.86446889	-87.06477727
4.87179489	-79.61409050
4.87912090	-83.65800873
4.88644691	-78.23396099
4.89377291	-75.65352951
4.90109892	-74.44256110
4.90842493	-70.87720464
4.91575094	-70.02290748
4.92307694	-71.16673443
4.93040295	-74.97082563
4.93772896	-89.33282573
4.94505497	-78.09288046
