# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:58:55
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-319.46666668	0.00019386
-319.43333335	0.00004892
-319.40000002	-0.00012383
-319.36666668	0.00001437
-319.33333335	-0.00005762
-319.30000002	-0.00020232
-319.26666668	-0.00017517
-319.23333335	0.00008664
-319.20000002	-0.00013670
-319.16666668	0.00006392
-319.13333335	-0.00014473
-319.10000002	0.00024296
-319.06666669	0.00001891
-319.03333335	0.00018291
-319.00000002	0.00008265
-318.96666669	0.00023498
-318.93333335	-0.00002110
-318.90000002	-0.00000779
-318.86666669	-0.00001871
-318.83333335	-0.00009689
-318.80000002	0.00013163
-318.76666669	-0.00011667
-318.73333335	0.00014151
-318.70000002	-0.00009920
-318.66666669	-0.00003831
-318.63333335	-0.00006328
-318.60000002	-0.00021902
-318.56666669	0.00016818
-318.53333335	-0.00026073
-318.50000002	0.00012056
-318.46666669	-0.00007544
-318.43333335	0.00011639
-318.40000002	-0.00012241
-318.36666669	-0.00005324
-318.33333335	-0.00006983
-318.30000002	0.00008322
-318.26666669	0.00006245
-318.23333335	-0.00007858
-318.20000002	-0.00005852
-318.16666669	-0.00017826
-318.13333335	0.00012215
-318.10000002	0.00030204
-318.06666669	0.00009032
-318.03333335	0.00020565
-318.00000002	0.00001036
-317.96666669	-0.00017334
-317.93333335	-0.00001319
-317.90000002	-0.00012621
-317.86666669	0.00008751
-317.83333335	0.00010085
-317.80000002	0.00018079
-317.76666669	-0.00004635
-317.73333335	-0.00024157
-317.70000002	-0.00008577
-317.66666669	-0.00037899
-317.63333335	0.00011308
-317.60000002	0.00017088
-317.56666669	-0.00018069
-317.53333335	0.00004852
-317.50000002	-0.00020857
-317.46666669	-0.00030319
-317.43333335	-0.00018937
-317.40000002	-0.00005791
-317.36666669	-0.00043838
-317.33333335	-0.00012634
-317.30000002	-0.00035087
-317.26666669	-0.00038614
-317.23333336	0.00007479
-317.20000002	-0.00006908
-317.16666669	-0.00031772
-317.13333336	-0.00029243
-317.10000002	-0.00008142
-317.06666669	0.00001664
-317.03333336	-0.00020854
-317.00000002	0.00016922
-316.96666669	0.00007614
-316.93333336	0.00004550
-316.90000002	-0.00025882
-316.86666669	0.00015844
-316.83333336	-0.00011058
-316.80000002	0.00002539
-316.76666669	0.00030717
-316.73333336	0.00017841
-316.70000002	0.00016147
-316.66666669	0.00018980
-316.63333336	0.00008178
-316.60000002	0.00004829
-316.56666669	0.00021215
-316.53333336	0.00007410
-316.50000002	0.00003310
-316.46666669	0.00006097
-316.43333336	0.00009320
-316.40000002	0.00010736
-316.36666669	-0.00009122
-316.33333336	0.00016228
-316.30000002	0.00012543
-316.26666669	0.00003983
-316.23333336	-0.00001520
-316.20000002	-0.00004961
-316.16666669	-0.00002236
-316.13333336	0.00013599
-316.10000002	0.00017507
-316.06666669	0.00001205
-316.03333336	-0.00010557
-316.00000002	0.00009483
-315.96666669	0.00001764
-315.93333336	-0.00008006
-315.90000002	-0.00003819
-315.86666669	-0.00005658
-315.83333336	-0.00010675
-315.80000002	0.00010239
-315.76666669	0.00013501
-315.73333336	0.00042965
-315.70000002	-0.00009198
-315.66666669	0.00003611
-315.63333336	0.00015048
-315.60000002	0.00029219
-315.56666669	0.00025454
-315.53333336	0.00024587
-315.50000002	-0.00003578
-315.46666669	0.00006029
-315.43333336	0.00008814
-315.40000003	0.00007100
-315.36666669	0.00016162
-315.33333336	0.00019752
-315.30000003	0.00008778
-315.26666669	0.00031355
-315.23333336	-0.00001229
-315.20000003	0.00026390
-315.16666669	0.00016051
-315.13333336	0.00012242
-315.10000003	0.00047337
-315.06666669	0.00040064
-315.03333336	0.00005946
-315.00000003	0.00035799
-314.96666669	0.00044942
-314.93333336	0.00023063
-314.90000003	0.00027669
-314.86666669	0.00021944
-314.83333336	0.00012126
-314.80000003	0.00000772
-314.76666669	0.00005975
-314.73333336	0.00017283
-314.70000003	0.00018252
-314.66666669	0.00025702
-314.63333336	0.00031534
-314.60000003	0.00015879
-314.56666669	0.00003453
-314.53333336	0.00011692
-314.50000003	0.00028215
-314.46666669	0.00031413
-314.43333336	0.00049358
-314.40000003	0.00035117
-314.36666669	0.00031096
-314.33333336	0.00024006
-314.30000003	0.00015635
-314.26666669	0.00038404
-314.23333336	0.00017549
-314.20000003	0.00022590
-314.16666669	0.00024516
-314.13333336	0.00042781
-314.10000003	0.00038213
-314.06666669	0.00030398
-314.03333336	0.00018195
-314.00000003	0.00020075
-313.96666669	0.00003567
-313.93333336	0.00018720
-313.90000003	0.00038767
-313.86666669	0.00016086
-313.83333336	0.00028983
-313.80000003	0.00007716
-313.76666669	0.00030068
-313.73333336	0.00028860
-313.70000003	0.00012213
-313.66666669	-0.00004628
-313.63333336	-0.00008133
-313.60000003	-0.00002684
-313.56666669	-0.00010003
-313.53333336	0.00039798
-313.50000003	0.00008638
-313.46666670	-0.00009894
-313.43333336	0.00004040
-313.40000003	0.00000143
-313.36666670	-0.00005338
-313.33333336	0.00005512
-313.30000003	0.00005901
-313.26666670	0.00000068
-313.23333336	0.00026672
-313.20000003	0.00027027
-313.16666670	0.00001887
-313.13333336	0.00028475
-313.10000003	0.00031555
-313.06666670	0.00011956
-313.03333336	0.00021057
-313.00000003	0.00040336
-312.96666670	0.00000187
-312.93333336	0.00020128
-312.90000003	0.00006482
-312.86666670	0.00008581
-312.83333336	0.00005579
-312.80000003	0.00031650
-312.76666670	0.00048655
-312.73333336	0.00014170
-312.70000003	0.00036203
-312.66666670	0.00040333
-312.63333336	0.00003969
-312.60000003	0.00022182
-312.56666670	0.00006117
-312.53333336	0.00001475
-312.50000003	0.00028133
-312.46666670	0.00016425
-312.43333336	0.00022294
-312.40000003	0.00003565
-312.36666670	0.00006579
-312.33333336	0.00026472
-312.30000003	-0.00024535
-312.26666670	-0.00005217
-312.23333336	0.00015911
-312.20000003	0.00019759
-312.16666670	0.00018631
-312.13333336	0.00015216
-312.10000003	0.00027388
-312.06666670	0.00011883
-312.03333336	0.00018495
-312.00000003	0.00036817
-311.96666670	0.00027491
-311.93333336	0.00039891
-311.90000003	0.00016095
-311.86666670	0.00035939
-311.83333336	-0.00002237
-311.80000003	0.00043235
-311.76666670	0.00058012
-311.73333336	0.00023556
-311.70000003	0.00026388
-311.66666670	0.00039263
-311.63333337	0.00023329
-311.60000003	0.00030381
-311.56666670	0.00012363
-311.53333337	0.00031986
-311.50000003	-0.00001317
-311.46666670	0.00004782
-311.43333337	-0.00012321
-311.40000003	0.00005105
-311.36666670	-0.00007383
-311.33333337	0.00019330
-311.30000003	-0.00006014
-311.26666670	0.00026224
-311.23333337	0.00006349
-311.20000003	0.00022667
-311.16666670	0.00027573
-311.13333337	0.00009939
-311.10000003	0.00026555
-311.06666670	0.00003446
-311.03333337	0.00006163
-311.00000003	0.00007449
-310.96666670	0.00020499
-310.93333337	0.00006764
-310.90000003	0.00011343
-310.86666670	0.00012581
-310.83333337	0.00005729
-310.80000003	0.00019991
-310.76666670	0.00031382
-310.73333337	0.00018992
-310.70000003	0.00016739
-310.66666670	0.00011025
-310.63333337	0.00006174
-310.60000003	0.00003608
-310.56666670	0.00026382
-310.53333337	0.00010038
-310.50000003	0.00008826
-310.46666670	0.00047544
-310.43333337	0.00024721
-310.40000003	0.00019353
-310.36666670	0.00022033
-310.33333337	0.00031408
-310.30000003	0.00013228
-310.26666670	0.00043879
-310.23333337	0.00021099
-310.20000003	0.00017990
-310.16666670	0.00015544
-310.13333337	0.00019585
-310.10000003	0.00037161
-310.06666670	0.00040279
-310.03333337	0.00024451
-310.00000003	0.00017675
-309.96666670	0.00017832
-309.93333337	0.00005096
-309.90000003	0.00009722
-309.86666670	0.00013918
-309.83333337	0.00028382
-309.80000004	0.00005727
-309.76666670	0.00004772
-309.73333337	0.00048971
-309.70000004	0.00048290
-309.66666670	0.00047959
-309.63333337	0.00048592
-309.60000004	0.00039314
-309.56666670	0.00042168
-309.53333337	0.00028840
-309.50000004	0.00036269
-309.46666670	0.00021628
-309.43333337	0.00047048
-309.40000004	0.00028186
-309.36666670	0.00053566
-309.33333337	0.00031769
-309.30000004	0.00022962
-309.26666670	0.00037674
-309.23333337	0.00025294
-309.20000004	0.00026042
-309.16666670	0.00024718
-309.13333337	0.00040656
-309.10000004	0.00037394
-309.06666670	0.00025231
-309.03333337	0.00015605
-309.00000004	0.00021626
-308.96666670	0.00062293
-308.93333337	0.00038834
-308.90000004	0.00021273
-308.86666670	0.00047528
-308.83333337	0.00035058
-308.80000004	0.00035796
-308.76666670	0.00011631
-308.73333337	0.00047769
-308.70000004	0.00042995
-308.66666670	0.00046276
-308.63333337	0.00046452
-308.60000004	0.00038774
-308.56666670	0.00046660
-308.53333337	0.00059838
-308.50000004	0.00033758
-308.46666670	-0.00001770
-308.43333337	0.00049698
-308.40000004	0.00024111
-308.36666670	0.00028135
-308.33333337	0.00056823
-308.30000004	0.00051628
-308.26666670	0.00030612
-308.23333337	0.00016079
