# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:56:47
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-40.75819828
0.00732601	-39.29987737
0.01465201	-28.41153269
0.02197802	-27.34659408
0.02930403	-34.44663207
0.03663004	-35.05480187
0.04395604	-26.97858283
0.05128205	-24.79218004
0.05860806	-28.90746572
0.06593407	-23.52322302
0.07326007	-20.28279708
0.08058608	-24.70710026
0.08791209	-19.34031285
0.09523810	-13.83730737
0.10256410	-15.19227227
0.10989011	-21.25623265
0.11721612	-14.21534032
0.12454212	-13.39292529
0.13186813	-16.78757511
0.13919414	-12.39551770
0.14652015	-10.14601820
0.15384615	-10.54652082
0.16117216	-8.28623338
0.16849817	-6.42105512
0.17582418	-7.28743736
0.18315018	-9.57166078
0.19047619	-9.72730917
0.19780220	-9.04924664
0.20512821	-9.69609764
0.21245421	-10.64141583
0.21978022	-8.49879812
0.22710623	-6.44971680
0.23443224	-6.26768051
0.24175824	-5.12144708
0.24908425	-3.22582815
0.25641026	-3.39649820
0.26373626	-5.25744252
0.27106227	-5.53974083
0.27838828	-5.66835594
0.28571429	-7.42010641
0.29304029	-7.06363720
0.30036630	-5.88686406
0.30769231	-5.88102694
0.31501832	-4.90123392
0.32234432	-3.07990235
0.32967033	-1.97237700
0.33699634	-1.97737602
0.34432235	-2.83053525
0.35164835	-3.77614536
0.35897436	-4.69190832
0.36630037	-5.75832847
0.37362637	-6.13104780
0.38095238	-5.65717738
0.38827839	-4.84700349
0.39560440	-3.90349477
0.40293040	-2.65238255
0.41025641	-1.28041748
0.41758242	-0.76974696
0.42490843	-1.49053717
0.43223443	-2.83533808
0.43956044	-4.07889810
0.44688645	-5.04400258
0.45421246	-5.50140850
0.46153846	-5.69911477
0.46886447	-5.47428347
0.47619048	-4.67316776
0.48351648	-3.56217162
0.49084249	-2.10019695
0.49816850	-1.16946348
0.50549451	-1.36725949
0.51282051	-2.24940427
0.52014652	-3.41278495
0.52747253	-4.94670910
0.53479854	-5.63883023
0.54212454	-5.47132565
0.54945055	-6.60674673
0.55677656	-8.11396373
0.56410257	-5.87543644
0.57142857	-3.21956085
0.57875458	-2.05016766
0.58608059	-1.96057318
0.59340659	-2.54889768
0.60073260	-3.75223641
0.60805861	-5.20927114
0.61538462	-6.12221082
0.62271062	-6.48383827
0.63003663	-6.47811440
0.63736264	-6.11331176
0.64468865	-5.28838843
0.65201465	-3.98587670
0.65934066	-2.88062501
0.66666667	-2.36098480
0.67399268	-2.67772469
0.68131868	-4.10650156
0.68864469	-5.80137882
0.69597070	-6.57445429
0.70329671	-7.60108533
0.71062271	-8.06947916
0.71794872	-7.44006113
0.72527473	-7.45274648
0.73260073	-6.35806625
0.73992674	-4.95640623
0.74725275	-5.23320629
0.75457876	-5.91590384
0.76190476	-5.70255985
0.76923077	-6.39857175
0.77655678	-8.01570480
0.78388279	-8.60225528
0.79120879	-8.91782690
0.79853480	-9.16159747
0.80586081	-8.53620376
0.81318682	-7.86799197
0.82051282	-6.82743675
0.82783883	-5.50676091
0.83516484	-5.07143392
0.84249084	-5.87660327
0.84981685	-7.34148084
0.85714286	-8.69532608
0.86446887	-9.82713085
0.87179487	-10.43202491
0.87912088	-10.45562153
0.88644689	-10.24636463
0.89377290	-9.49104130
0.90109890	-8.31979056
0.90842491	-7.06868468
0.91575092	-6.26307545
0.92307693	-6.48757830
0.93040293	-7.66705236
0.93772894	-9.16557268
0.94505495	-10.42537349
0.95238095	-11.08317882
0.95970696	-11.59172944
0.96703297	-11.74984583
0.97435898	-10.95657008
0.98168498	-10.79007009
0.98901099	-10.23994272
0.99633700	-8.27012446
1.00366301	-7.53403407
1.01098901	-8.56363884
1.01831502	-10.01914545
1.02564103	-11.24816721
1.03296704	-12.35935310
1.04029304	-12.52080369
1.04761905	-12.81610397
1.05494506	-12.53049780
1.06227107	-11.49868744
1.06959707	-10.79723894
1.07692308	-9.31929751
1.08424909	-8.88730256
1.09157509	-12.19995435
1.09890110	-21.93134624
1.10622711	-16.22217604
1.11355312	-15.61559278
1.12087912	-16.69261276
1.12820513	-13.90192709
1.13553114	-14.05158499
1.14285715	-14.24946874
1.15018315	-12.76711371
1.15750916	-15.75838802
1.16483517	-22.36690572
1.17216118	-13.05910639
1.17948718	-11.35918361
1.18681319	-12.97691818
1.19413920	-13.89482783
1.20146520	-15.36782815
1.20879121	-18.90318161
1.21611722	-16.24225035
1.22344323	-15.54659034
1.23076923	-16.69045738
1.23809524	-13.22952660
1.24542125	-10.90450563
1.25274726	-10.70550654
1.26007326	-11.44553454
1.26739927	-12.73170043
1.27472528	-14.35518855
1.28205129	-15.35434844
1.28937729	-15.88483374
1.29670330	-16.18551383
1.30402931	-15.82076811
1.31135531	-15.11494701
1.31868132	-14.23993474
1.32600733	-12.95374538
1.33333334	-11.93163478
1.34065934	-12.23213115
1.34798535	-13.76686106
1.35531136	-15.09855789
1.36263737	-16.27842791
1.36996337	-17.37057241
1.37728938	-17.13318432
1.38461539	-17.67039567
1.39194140	-17.00267029
1.39926740	-15.68611874
1.40659341	-18.55918469
1.41391942	-22.09451625
1.42124542	-15.56670724
1.42857143	-14.37033931
1.43589744	-16.44421510
1.44322345	-17.67266623
1.45054945	-18.02378458
1.45787546	-19.11891586
1.46520147	-18.66320069
1.47252748	-18.28444406
1.47985348	-17.68774044
1.48717949	-16.17413755
