# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:52:51
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-326.90000000	0.00000000
-326.86666667	0.00000005
-326.83333333	-0.00000005
-326.80000000	-0.00000009
-326.76666667	-0.00000025
-326.73333333	0.00000003
-326.70000000	0.00000013
-326.66666667	-0.00000069
-326.63333333	-0.00000185
-326.60000000	-0.00000090
-326.56666667	-0.00000055
-326.53333334	-0.00000055
-326.50000000	-0.00000065
-326.46666667	0.00000372
-326.43333334	-0.00000331
-326.40000000	0.00000083
-326.36666667	0.00000199
-326.33333334	0.00000049
-326.30000000	-0.00000155
-326.26666667	0.00000484
-326.23333334	-0.00000260
-326.20000000	-0.00001034
-326.16666667	0.00001188
-326.13333334	-0.00000082
-326.10000000	-0.00001126
-326.06666667	-0.00000754
-326.03333334	0.00001696
-326.00000000	0.00000788
-325.96666667	-0.00000116
-325.93333334	0.00001364
-325.90000000	0.00001711
-325.86666667	0.00003508
-325.83333334	-0.00003525
-325.80000000	-0.00001000
-325.76666667	-0.00000600
-325.73333334	-0.00002154
-325.70000000	0.00001475
-325.66666667	0.00000443
-325.63333334	0.00002490
-325.60000000	0.00004264
-325.56666667	0.00004330
-325.53333334	-0.00001580
-325.50000000	-0.00004964
-325.46666667	0.00001470
-325.43333334	0.00003172
-325.40000000	0.00000867
-325.36666667	0.00005968
-325.33333334	0.00004831
-325.30000000	0.00000856
-325.26666667	0.00002286
-325.23333334	0.00005669
-325.20000000	0.00004293
-325.16666667	0.00004508
-325.13333334	-0.00005048
-325.10000000	0.00001224
-325.06666667	0.00003121
-325.03333334	-0.00001830
-325.00000000	-0.00000938
-324.96666667	-0.00000358
-324.93333334	-0.00001761
-324.90000000	0.00000804
-324.86666667	-0.00004896
-324.83333334	0.00008902
-324.80000000	-0.00002946
-324.76666667	0.00004252
-324.73333334	0.00012819
-324.70000000	0.00012331
-324.66666667	0.00013126
-324.63333334	0.00012488
-324.60000000	0.00009975
-324.56666667	0.00013952
-324.53333334	-0.00001007
-324.50000000	0.00001208
-324.46666667	0.00011625
-324.43333334	0.00006389
-324.40000000	-0.00005786
-324.36666667	0.00021354
-324.33333334	0.00013992
-324.30000000	0.00017144
-324.26666667	0.00015779
-324.23333334	0.00015747
-324.20000000	0.00016147
-324.16666667	-0.00003366
-324.13333334	0.00014222
-324.10000001	0.00016584
-324.06666667	0.00020401
-324.03333334	0.00004718
-324.00000001	0.00008435
-323.96666667	0.00021425
-323.93333334	0.00025825
-323.90000001	0.00016735
-323.86666667	0.00015440
-323.83333334	0.00015319
-323.80000001	0.00013671
-323.76666667	0.00012274
-323.73333334	0.00008151
-323.70000001	0.00014605
-323.66666667	0.00019519
-323.63333334	0.00018265
-323.60000001	0.00014350
-323.56666667	0.00025112
-323.53333334	0.00008108
-323.50000001	0.00041862
-323.46666667	0.00032173
-323.43333334	0.00034265
-323.40000001	0.00038426
-323.36666667	0.00016543
-323.33333334	0.00044463
-323.30000001	0.00024830
-323.26666667	0.00018346
-323.23333334	0.00013316
-323.20000001	0.00025677
-323.16666667	0.00034868
-323.13333334	0.00045302
-323.10000001	0.00024503
-323.06666667	0.00028412
-323.03333334	0.00032692
-323.00000001	0.00042885
-322.96666667	0.00030380
-322.93333334	0.00003265
-322.90000001	0.00026634
-322.86666667	0.00020803
-322.83333334	0.00000807
-322.80000001	-0.00000465
-322.76666667	0.00023008
-322.73333334	-0.00006001
-322.70000001	0.00014589
-322.66666667	0.00022894
-322.63333334	0.00011419
-322.60000001	0.00010436
-322.56666667	0.00041274
-322.53333334	0.00028624
-322.50000001	0.00020006
-322.46666667	0.00021495
-322.43333334	0.00020476
-322.40000001	-0.00003898
-322.36666667	0.00007452
-322.33333334	-0.00017198
-322.30000001	0.00005828
-322.26666667	-0.00025499
-322.23333334	0.00001173
-322.20000001	0.00000656
-322.16666667	0.00015359
-322.13333334	-0.00015523
-322.10000001	-0.00005233
-322.06666667	0.00021870
-322.03333334	0.00012912
-322.00000001	0.00008026
-321.96666667	-0.00003845
-321.93333334	0.00009566
-321.90000001	0.00011884
-321.86666667	-0.00000957
-321.83333334	0.00019346
-321.80000001	0.00047859
-321.76666667	0.00032799
-321.73333334	0.00033350
-321.70000001	0.00011670
-321.66666667	0.00038619
-321.63333334	0.00003197
-321.60000001	0.00007413
-321.56666668	0.00004869
-321.53333334	-0.00007306
-321.50000001	0.00027654
-321.46666668	0.00006825
-321.43333334	-0.00017996
-321.40000001	0.00017450
-321.36666668	0.00013068
-321.33333334	-0.00002569
-321.30000001	-0.00035116
-321.26666668	-0.00033751
-321.23333334	0.00001056
-321.20000001	-0.00010140
-321.16666668	-0.00018274
-321.13333334	0.00009372
-321.10000001	-0.00004544
-321.06666668	-0.00017930
