# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:56:47
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-326.90000000	0.00000000
-326.86666667	0.00000001
-326.83333333	0.00000013
-326.80000000	0.00000023
-326.76666667	0.00000036
-326.73333333	-0.00000029
-326.70000000	-0.00000001
-326.66666667	0.00000006
-326.63333333	0.00000133
-326.60000000	-0.00000032
-326.56666667	-0.00000004
-326.53333333	0.00000316
-326.50000000	-0.00000066
-326.46666667	-0.00000766
-326.43333333	-0.00000359
-326.40000000	-0.00000097
-326.36666667	-0.00000001
-326.33333333	0.00000507
-326.30000000	0.00000949
-326.26666667	-0.00000245
-326.23333333	0.00000330
-326.20000000	-0.00000421
-326.16666667	-0.00000290
-326.13333333	-0.00001168
-326.10000000	-0.00000691
-326.06666667	0.00000601
-326.03333333	-0.00000456
-326.00000000	-0.00001031
-325.96666667	-0.00000421
-325.93333333	-0.00001211
-325.90000000	-0.00000702
-325.86666667	-0.00000359
-325.83333333	0.00003061
-325.80000000	-0.00000540
-325.76666667	-0.00000213
-325.73333333	-0.00001653
-325.70000000	0.00000544
-325.66666667	-0.00002252
-325.63333333	0.00000665
-325.60000000	0.00001200
-325.56666667	0.00002585
-325.53333334	0.00000685
-325.50000000	-0.00001330
-325.46666667	0.00001111
-325.43333334	-0.00002088
-325.40000000	-0.00003095
-325.36666667	-0.00005945
-325.33333334	0.00001000
-325.30000000	-0.00006757
-325.26666667	-0.00008889
-325.23333334	-0.00001578
-325.20000000	-0.00002012
-325.16666667	-0.00000719
-325.13333334	-0.00004688
-325.10000000	-0.00010042
-325.06666667	-0.00009710
-325.03333334	-0.00007961
-325.00000000	-0.00005550
-324.96666667	-0.00003802
-324.93333334	0.00004007
-324.90000000	0.00000033
-324.86666667	-0.00001290
-324.83333334	-0.00004828
-324.80000000	-0.00000214
-324.76666667	-0.00008223
-324.73333334	-0.00014899
-324.70000000	-0.00002226
-324.66666667	-0.00009623
-324.63333334	-0.00003919
-324.60000000	-0.00002437
-324.56666667	-0.00008938
-324.53333334	-0.00017814
-324.50000000	-0.00009532
-324.46666667	-0.00005325
-324.43333334	-0.00003539
-324.40000000	-0.00010495
-324.36666667	-0.00010139
-324.33333334	-0.00007871
-324.30000001	-0.00004550
-324.26666667	-0.00020050
-324.23333334	-0.00006613
-324.20000001	-0.00018344
-324.16666667	-0.00006120
-324.13333334	-0.00014298
-324.10000001	-0.00012121
-324.06666667	-0.00016201
-324.03333334	-0.00002655
-324.00000001	-0.00011862
-323.96666667	0.00001481
-323.93333334	-0.00011098
-323.90000001	0.00004160
-323.86666667	-0.00004277
-323.83333334	-0.00009256
-323.80000001	0.00015632
-323.76666667	0.00007823
-323.73333334	0.00012019
-323.70000001	0.00001736
-323.66666667	0.00020152
-323.63333334	0.00006650
-323.60000001	0.00009865
-323.56666667	0.00005964
-323.53333334	-0.00001469
-323.50000001	-0.00011314
-323.46666667	-0.00023214
-323.43333334	-0.00011411
