# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:55:20
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-31.40042523
0.00732601	-41.81058717
0.01465201	-25.75278260
0.02197802	-24.94514656
0.02930403	-30.79782531
0.03663004	-34.36376462
0.04395604	-23.72967522
0.05128205	-20.27236463
0.05860806	-24.69263618
0.06593407	-20.38519460
0.07326007	-16.20893350
0.08058608	-22.40609394
0.08791209	-16.90565841
0.09523810	-10.38584033
0.10256410	-12.31531472
0.10989011	-15.36525093
0.11721612	-8.73586540
0.12454212	-8.20938666
0.13186813	-10.24483704
0.13919414	-7.73058698
0.14652015	-6.54552645
0.15384615	-7.73231984
0.16117216	-7.09321135
0.16849817	-5.22913937
0.17582418	-5.33501731
0.18315018	-6.38439031
0.19047619	-4.90484565
0.19780220	-3.69618407
0.20512821	-4.40452008
0.21245421	-4.97670814
0.21978022	-3.68970307
0.22710623	-2.53308659
0.23443224	-2.96296190
0.24175824	-3.52122385
0.24908425	-2.00496523
0.25641026	-1.77789685
0.26373626	-2.75642094
0.27106227	-1.57379486
0.27838828	-1.09635478
0.28571429	-2.03929241
0.29304029	-1.41171226
0.30036630	-0.77036887
0.30769231	-1.28286174
0.31501832	-1.38343461
0.32234432	-0.98682683
0.32967033	-0.79007869
0.33699634	-0.94123314
0.34432235	-0.98841663
0.35164835	-0.53717757
0.35897436	-0.41600010
0.36630037	-0.67315129
0.37362637	-0.63523163
0.38095238	-0.30805430
0.38827839	-0.00188120
0.39560440	-0.00552323
0.40293040	-0.05248824
0.41025641	0.12639850
0.41758242	0.10468384
0.42490843	-0.09856472
0.43223443	-0.21163734
0.43956044	-0.30229066
0.44688645	-0.29991878
0.45421246	-0.23478243
0.46153846	-0.32810244
0.46886447	-0.46080218
0.47619048	-0.44021887
0.48351648	-0.46429897
0.49084249	-0.37858917
0.49816850	-0.22368492
0.50549451	-0.41687515
0.51282051	-0.22358344
0.52014652	0.00536438
0.52747253	-0.66981518
0.53479854	-0.54896742
0.54212454	-0.06124688
0.54945055	-1.49795272
0.55677656	-3.35693190
0.56410257	-2.32997136
0.57142857	-1.10123846
0.57875458	-0.90241141
0.58608059	-1.30940782
0.59340660	-1.10772210
0.60073260	-0.90476318
0.60805861	-1.41243753
0.61538462	-1.35837255
0.62271062	-1.21816142
0.63003663	-1.38152951
0.63736264	-1.27376406
0.64468865	-1.46315895
0.65201465	-1.44748972
0.65934066	-1.48027403
0.66666667	-1.92923213
0.67399268	-1.70706472
0.68131868	-1.95704192
0.68864469	-2.51501123
0.69597070	-2.18364235
0.70329671	-2.63884440
0.71062271	-2.95553606
0.71794872	-2.54947420
0.72527473	-3.24299137
0.73260073	-3.41811625
0.73992674	-3.19927052
0.74725275	-4.63723163
0.75457876	-5.30401164
0.76190476	-4.10216986
0.76923077	-3.76527564
0.77655678	-3.95212057
0.78388279	-3.95803173
0.79120879	-3.93297275
0.79853480	-4.06709844
0.80586081	-4.26084581
0.81318682	-4.44118459
0.82051282	-4.71150226
0.82783883	-4.79676609
0.83516484	-4.75238767
0.84249084	-4.99813548
0.84981685	-5.20609207
0.85714286	-5.25793499
0.86446887	-5.53149334
0.87179487	-5.60903623
0.87912088	-5.51127936
0.88644689	-5.72491658
0.89377290	-5.79901500
0.90109890	-5.81507290
0.90842491	-6.04123991
0.91575092	-6.05949899
0.92307693	-6.10325615
0.93040293	-6.20220351
0.93772894	-6.30141996
0.94505495	-6.53813606
0.95238096	-6.53777936
0.95970696	-6.77054110
0.96703297	-7.12566013
0.97435898	-7.07363400
0.98168498	-7.82186496
0.98901099	-8.72891152
0.99633700	-7.97854238
1.00366301	-7.49039291
1.01098901	-7.72869600
1.01831502	-7.79495520
1.02564103	-7.87105261
1.03296704	-8.04400167
1.04029304	-7.95310871
1.04761905	-8.11762645
1.05494506	-8.46601316
1.06227107	-8.34743047
1.06959707	-8.75824275
1.07692308	-9.04496125
1.08424909	-8.82143445
1.09157509	-11.78089804
1.09890110	-19.90064273
1.10622711	-13.19403271
1.11355312	-11.95953872
1.12087912	-11.68422233
1.12820513	-9.62527470
1.13553114	-9.73192119
1.14285715	-10.55558475
1.15018315	-10.70985651
1.15750916	-14.25006384
1.16483517	-22.94864606
1.17216118	-12.83443143
1.17948718	-10.48769410
1.18681319	-10.75012759
1.19413920	-10.34631249
1.20146520	-11.33654645
1.20879121	-14.10708973
1.21611722	-12.03515357
1.22344323	-11.70180729
1.23076923	-13.94743472
1.23809524	-11.91710746
1.24542125	-10.83224379
1.25274726	-11.40163574
1.26007326	-11.01983297
1.26739927	-11.18975505
1.27472528	-11.57109117
1.28205129	-11.42028765
1.28937729	-11.78336721
1.29670330	-11.85478284
1.30402931	-11.90424721
1.31135532	-12.27095797
1.31868132	-12.45446609
1.32600733	-12.78807118
1.33333334	-12.62791477
1.34065934	-12.51377564
1.34798535	-12.93825132
1.35531136	-12.80268944
1.36263737	-12.94734378
1.36996337	-13.33188419
1.37728938	-13.07135560
1.38461539	-13.56574101
1.39194140	-13.85562985
1.39926740	-13.77741487
1.40659341	-17.29420509
1.41391942	-23.21232859
1.42124543	-15.88761248
1.42857143	-14.34833267
1.43589744	-14.91367087
1.44322345	-14.59101970
1.45054945	-14.66322435
1.45787546	-14.93554349
1.46520147	-14.74819977
1.47252748	-14.99476694
1.47985348	-15.18925848
1.48717949	-15.22814341
1.49450550	-15.46400695
1.50183151	-15.53416625
1.50915751	-15.65985325
1.51648352	-15.94630436
1.52380953	-16.08562996
1.53113554	-16.21923260
1.53846154	-16.43663501
1.54578755	-16.48832374
1.55311356	-16.61682168
1.56043956	-16.85038644
1.56776557	-16.83294337
1.57509158	-17.14701926
1.58241759	-17.29637811
1.58974359	-17.16037205
1.59706960	-18.99750774
1.60439561	-21.76632962
1.61172162	-19.54897074
1.61904762	-18.17766726
1.62637363	-18.57941869
1.63369964	-19.07388747
1.64102565	-19.11567953
1.64835165	-19.91106502
1.65567766	-23.51591897
1.66300367	-32.17212755
1.67032968	-47.85450646
1.67765568	-30.76667666
1.68498169	-22.94544367
1.69230770	-20.94766916
1.69963370	-21.57570418
1.70695971	-23.19959381
1.71428572	-28.77731539
1.72161173	-33.18316858
1.72893773	-24.35960807
1.73626374	-22.36940160
1.74358975	-21.73974765
1.75091576	-21.75423252
1.75824176	-22.91953568
1.76556777	-23.65904669
1.77289378	-23.09167712
1.78021979	-22.38047018
1.78754579	-23.07753535
1.79487180	-26.52265522
1.80219781	-26.95932525
1.80952381	-23.63467276
1.81684982	-23.25185094
1.82417583	-23.91016896
1.83150184	-23.47636964
1.83882784	-23.79151001
1.84615385	-24.44825525
1.85347986	-23.97997462
1.86080587	-25.61775325
1.86813187	-33.32392914
1.87545788	-29.49394109
1.88278389	-25.10770986
1.89010990	-25.12175396
1.89743590	-25.77183766
1.90476191	-25.02780170
1.91208792	-26.28803360
1.91941393	-31.98789551
1.92673993	-29.67570260
1.93406594	-26.19543623
1.94139195	-26.21307770
1.94871795	-26.47583962
1.95604396	-26.32821558
1.96336997	-26.67476965
1.97069598	-26.82149789
1.97802198	-27.08168556
1.98534799	-27.28328145
1.99267400	-27.41027826
2.00000001	-27.71643768
2.00732601	-27.67336559
2.01465202	-28.27701204
2.02197803	-28.50479137
2.02930404	-27.90363453
2.03663004	-29.82937195
2.04395605	-32.65901256
2.05128206	-29.67932966
2.05860806	-28.38634919
2.06593407	-29.15416872
2.07326008	-30.94859753
2.08058609	-31.51373708
2.08791209	-29.64940426
2.09523810	-29.37759620
2.10256411	-30.12069728
2.10989012	-29.78487786
2.11721612	-30.06999462
2.12454213	-30.39934663
2.13186814	-30.12425714
2.13919415	-30.78165010
2.14652015	-30.87702135
2.15384616	-31.34948073
2.16117217	-36.45952056
2.16849817	-49.37966633
2.17582418	-34.79691280
2.18315019	-32.31233510
2.19047620	-34.26942849
2.19780220	-46.20186387
2.20512821	-37.24277903
2.21245422	-33.71553249
2.21978023	-38.67440829
2.22710623	-43.89510477
2.23443224	-34.78286399
2.24175825	-34.07503936
2.24908426	-34.26521848
2.25641026	-35.06747274
2.26373627	-42.57498087
2.27106228	-42.71974851
2.27838829	-35.49442860
2.28571429	-34.68287506
2.29304030	-34.67904739
2.30036631	-34.77094081
2.30769231	-35.15923483
2.31501832	-35.50119124
2.32234433	-36.53788854
2.32967034	-36.34918579
2.33699634	-36.80403898
2.34432235	-41.44743502
2.35164836	-40.18103725
2.35897437	-38.02615921
2.36630037	-41.77722458
2.37362638	-40.81671901
2.38095239	-38.25027994
2.38827840	-42.60509097
2.39560440	-56.33917764
2.40293041	-41.33193611
2.41025642	-38.56624658
2.41758242	-38.33247601
2.42490843	-38.94409377
2.43223444	-39.10457209
2.43956045	-39.15951789
2.44688645	-39.22764357
2.45421246	-40.05641722
2.46153847	-45.75677394
2.46886448	-52.35488121
2.47619048	-41.54261128
2.48351649	-39.88905200
2.49084250	-39.84089687
2.49816851	-39.43198169
2.50549451	-39.72749202
2.51282052	-39.93785255
2.52014653	-39.98974083
