# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:58:55
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
1.72161172	-34.52137722
1.72893773	-24.79474266
1.73626374	-22.19773004
1.74358975	-22.38090714
1.75091575	-23.65342804
1.75824176	-25.57665800
1.76556777	-27.33904707
1.77289378	-27.02100487
1.78021978	-25.98125340
1.78754579	-26.32883092
1.79487180	-29.19465649
1.80219781	-28.10190393
1.80952381	-23.84768969
1.81684982	-22.80788894
1.82417583	-23.91204413
1.83150183	-24.91330500
1.83882784	-25.90327159
1.84615385	-27.63583420
1.85347986	-27.70291660
1.86080586	-28.90882204
1.86813187	-37.15996354
1.87545788	-31.67580341
1.88278389	-26.40317004
1.89010989	-25.28714820
1.89743590	-24.95645231
1.90476191	-24.85828538
1.91208792	-27.12613358
1.91941392	-33.92993750
1.92673993	-32.77313407
1.93406594	-29.47610741
1.94139194	-29.70443659
1.94871795	-29.63852523
1.95604396	-28.65746372
1.96336997	-27.81907566
1.97069597	-26.77493774
1.97802198	-26.11373308
1.98534799	-26.44650405
1.99267400	-27.67683708
2.00000000	-29.06283802
2.00732601	-30.11374481
2.01465202	-31.38421623
2.02197803	-31.61527580
2.02930403	-30.83534917
2.03663004	-32.30696712
2.04395605	-33.95003253
2.05128205	-29.66256354
2.05860806	-27.27641833
2.06593407	-27.93354621
2.07326008	-30.82118123
2.08058608	-32.35477782
2.08791209	-31.59825784
2.09523810	-32.24036331
2.10256411	-32.93625618
2.10989011	-32.67860290
2.11721612	-32.49592249
2.12454213	-31.33849677
2.13186814	-30.16383432
2.13919414	-29.56650028
2.14652015	-29.31965327
2.15384616	-30.91686450
2.16117217	-36.95015699
2.16849817	-52.48049075
2.17582418	-37.65374331
2.18315019	-35.14016062
2.19047619	-36.55844558
2.19780220	-49.91865097
2.20512821	-37.75399085
2.21245422	-33.89898725
2.21978022	-38.23960312
2.22710623	-43.24384947
2.23443224	-34.12078089
2.24175825	-33.62254710
2.24908425	-35.88487903
2.25641026	-37.74624372
2.26373627	-44.27513025
2.27106228	-45.31978292
2.27838828	-37.65385995
2.28571429	-36.19400151
2.29304030	-34.71158527
2.30036630	-33.31355345
2.30769231	-33.10986571
2.31501832	-33.90317300
2.32234433	-35.83237180
2.32967033	-37.35445509
2.33699634	-38.44273015
2.34432235	-43.68160763
2.35164836	-43.06764639
2.35897436	-39.96255308
2.36630037	-43.70646889
2.37362638	-40.59452924
2.38095239	-37.34197311
2.38827839	-40.73387665
2.39560440	-59.58603938
2.40293041	-40.61686768
2.41025641	-38.80462790
2.41758242	-40.25662744
2.42490843	-41.01097144
2.43223444	-41.43102711
2.43956044	-41.73174852
2.44688645	-40.20935536
2.45421246	-40.28387685
2.46153847	-46.14673575
2.46886447	-50.17884509
2.47619048	-39.85292290
2.48351649	-38.29881667
2.49084250	-39.94936163
2.49816850	-41.29913382
2.50549451	-41.50483837
2.51282052	-42.27168088
2.52014652	-42.18971221
2.52747253	-41.64448009
2.53479854	-40.86342331
2.54212455	-39.30077464
2.54945055	-38.17998760
2.55677656	-38.34133427
2.56410257	-39.66721959
2.57142858	-41.33834562
2.57875458	-42.36484082
2.58608059	-43.26932072
2.59340660	-43.78374960
2.60073261	-44.18950433
2.60805861	-44.26965248
2.61538462	-43.02582255
2.62271063	-43.36072427
2.63003663	-47.19572815
2.63736264	-58.44583736
2.64468865	-66.00709023
2.65201466	-53.54194823
2.65934066	-49.65608526
2.66666667	-48.30901715
2.67399268	-47.63197156
2.68131869	-48.14641765
2.68864469	-50.88818557
2.69597070	-47.18582518
2.70329671	-43.20185231
2.71062272	-42.05611913
2.71794872	-41.84618072
2.72527473	-41.75994602
2.73260074	-42.71937227
2.73992674	-45.03682722
2.74725275	-46.60036582
2.75457876	-46.98041497
2.76190477	-49.44236353
2.76923077	-56.18473317
2.77655678	-78.81358160
2.78388279	-57.95196194
2.79120880	-48.09152659
2.79853480	-43.58324856
2.80586081	-42.71639894
2.81318682	-44.32295584
2.82051283	-45.66476695
2.82783883	-46.25640071
2.83516484	-47.91165705
2.84249085	-47.56508680
2.84981685	-46.91513697
2.85714286	-47.24450614
2.86446887	-45.34764026
2.87179488	-44.94358901
2.87912088	-49.45486018
2.88644689	-64.65208639
2.89377290	-48.56006560
2.90109891	-46.60357669
2.90842491	-48.13421809
2.91575092	-48.99502256
2.92307693	-48.89535536
2.93040294	-49.42595328
2.93772894	-49.14135241
2.94505495	-47.83737639
2.95238096	-47.24027099
2.95970696	-49.24605139
2.96703297	-55.04319423
2.97435898	-60.95157508
2.98168499	-59.20328871
2.98901099	-54.50847322
2.99633700	-53.31794768
3.00366301	-56.37346447
3.01098902	-60.78692133
3.01831502	-64.88997772
3.02564103	-57.30103084
3.03296704	-52.09641201
3.04029305	-52.20718131
3.04761905	-55.42989212
3.05494506	-51.50846079
3.06227107	-48.99956703
3.06959708	-49.66680904
3.07692308	-51.50290277
3.08424909	-51.42265737
3.09157510	-51.68423881
3.09890110	-51.83752384
3.10622711	-50.51352102
3.11355312	-49.58965905
3.12087913	-50.07638737
3.12820513	-52.76259123
3.13553114	-61.81653285
3.14285715	-58.76007821
3.15018316	-55.11943368
3.15750916	-54.12420515
3.16483517	-58.28984628
3.17216118	-68.65058865
3.17948719	-59.15188820
3.18681319	-57.38757500
3.19413920	-52.72418122
3.20146521	-50.09581064
3.20879121	-50.20289295
3.21611722	-50.70523088
3.22344323	-51.94128165
3.23076924	-58.22654826
3.23809524	-61.48930458
3.24542125	-53.81664647
3.25274726	-54.18331025
3.26007327	-55.25977897
3.26739927	-53.00544773
3.27472528	-52.10020488
3.28205129	-51.18881930
3.28937730	-50.08176579
3.29670330	-50.32189105
3.30402931	-51.36216409
3.31135532	-52.94189382
3.31868132	-55.46905019
3.32600733	-58.60217117
3.33333334	-64.74288957
3.34065935	-65.04990237
3.34798535	-57.87261534
3.35531136	-54.65932461
3.36263737	-53.39946626
3.36996338	-52.34019407
3.37728938	-51.67018000
3.38461539	-52.38595448
3.39194140	-53.69571953
3.39926741	-54.94421909
3.40659341	-56.21902879
3.41391942	-57.02646380
3.42124543	-56.75002626
3.42857143	-56.95498602
3.43589744	-56.08800272
3.44322345	-54.00023925
3.45054946	-53.23024702
3.45787546	-52.85987701
3.46520147	-52.81415567
3.47252748	-54.98832948
3.47985349	-56.45156853
3.48717949	-56.24194788
3.49450550	-58.84894471
3.50183151	-62.11033251
3.50915752	-61.11595630
3.51648352	-58.50404699
3.52380953	-56.84696101
3.53113554	-57.75414303
3.53846154	-62.53330829
3.54578755	-61.65454645
3.55311356	-56.96698806
3.56043957	-58.06065177
3.56776557	-61.87074036
3.57509158	-62.38055106
3.58241759	-61.28089261
3.58974360	-61.25088371
3.59706960	-65.36920229
3.60439561	-81.12517080
3.61172162	-64.05625074
3.61904763	-62.59679462
3.62637363	-59.33225483
3.63369964	-59.34621262
3.64102565	-64.57121945
3.64835165	-75.82806848
3.65567766	-86.23864202
3.66300367	-74.79392562
3.67032968	-69.11752753
3.67765568	-66.67770276
3.68498169	-65.22719246
3.69230770	-65.48058433
3.69963371	-60.86079380
3.70695971	-57.59414963
3.71428572	-59.04586814
3.72161173	-61.77757891
3.72893774	-64.33376586
3.73626374	-64.81654325
3.74358975	-65.87859048
3.75091576	-69.02674443
3.75824176	-67.74472765
3.76556777	-64.16581195
3.77289378	-61.60576349
3.78021979	-61.99096045
3.78754579	-61.65942216
3.79487180	-64.90209874
3.80219781	-74.64402595
3.80952382	-76.14179999
3.81684982	-69.73408345
3.82417583	-82.01208696
3.83150184	-71.88189548
3.83882785	-68.94045838
3.84615385	-66.90036330
3.85347986	-66.93270763
3.86080587	-67.95275419
3.86813188	-65.00919759
3.87545788	-63.80288055
3.88278389	-65.22151852
3.89010990	-66.44533586
3.89743590	-69.73113910
3.90476191	-73.36858147
3.91208792	-67.26936378
3.91941393	-65.01325170
3.92673993	-65.93739178
3.93406594	-65.80643380
3.94139195	-71.13530177
3.94871796	-68.96418685
3.95604396	-71.96510236
3.96336997	-74.81363026
3.97069598	-76.05632924
3.97802199	-76.12408102
3.98534799	-82.64009307
3.99267400	-77.69544678
4.00000001	-84.42924879
4.00732601	-74.61488662
4.01465202	-69.58622235
4.02197803	-70.00036417
4.02930404	-69.42093317
4.03663004	-70.41343357
4.04395605	-73.50399468
4.05128206	-72.44540880
4.05860807	-78.59793313
4.06593407	-74.60314445
4.07326008	-76.68464156
4.08058609	-78.23920437
4.08791210	-102.86180655
4.09523810	-74.20380890
4.10256411	-65.90036755
4.10989012	-68.44161931
4.11721612	-76.70847298
4.12454213	-69.80454683
4.13186814	-69.72792053
4.13919415	-72.41168185
4.14652015	-72.45052072
4.15384616	-80.43140006
4.16117217	-77.01557441
4.16849818	-75.40223201
4.17582418	-85.83003502
4.18315019	-85.15041993
4.19047620	-76.34235889
4.19780221	-90.59088901
4.20512821	-73.30569286
4.21245422	-79.57693425
4.21978023	-73.28344322
4.22710623	-78.06484473
4.23443224	-77.96946942
4.24175825	-77.22145479
4.24908426	-86.32920792
4.25641026	-91.81600647
4.26373627	-82.67793991
4.27106228	-75.34597668
4.27838829	-73.94490501
4.28571429	-75.16720006
4.29304030	-76.55780243
4.30036631	-78.72314005
4.30769232	-80.88999400
4.31501832	-80.53874016
4.32234433	-90.50803209
4.32967034	-81.05837459
4.33699634	-77.77208394
4.34432235	-77.89127242
4.35164836	-73.49080618
4.35897437	-85.36842393
4.36630037	-75.29243389
4.37362638	-74.07305274
4.38095239	-75.18769826
4.38827840	-74.49714371
4.39560440	-71.47587501
4.40293041	-76.66727553
4.41025642	-75.04332530
4.41758243	-84.73677578
4.42490843	-74.70867873
4.43223444	-74.07987967
4.43956045	-77.63220091
4.44688645	-81.56707390
4.45421246	-77.54825647
4.46153847	-77.56963245
4.46886448	-86.20781536
4.47619048	-94.66459488
4.48351649	-74.94571769
4.49084250	-77.60152084
4.49816851	-86.04928735
4.50549451	-84.46699754
4.51282052	-72.42441654
4.52014653	-75.99896575
4.52747254	-77.75710186
4.53479854	-74.32063808
4.54212455	-73.87895361
4.54945056	-88.26782639
4.55677656	-78.47815181
4.56410257	-82.76334943
4.57142858	-89.74923225
4.57875459	-94.57437118
4.58608059	-86.30996820
4.59340660	-86.92623721
4.60073261	-91.72537391
4.60805862	-73.93097567
4.61538462	-71.73703217
4.62271063	-75.06508178
4.63003664	-81.09007037
4.63736265	-79.77848976
4.64468865	-82.99045959
4.65201466	-73.85803455
