# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:49:52
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-319.26666669	0.00004019
-319.23333336	-0.00005715
-319.20000003	0.00016893
-319.16666669	0.00008410
-319.13333336	0.00020363
-319.10000003	0.00035063
-319.06666670	0.00028267
-319.03333336	0.00035118
-319.00000003	0.00017170
-318.96666670	0.00025958
-318.93333336	0.00024211
-318.90000003	0.00018030
-318.86666670	0.00044585
-318.83333336	0.00046521
-318.80000003	0.00044055
-318.76666670	0.00009817
-318.73333336	0.00044326
-318.70000003	0.00035533
-318.66666670	0.00042837
-318.63333336	0.00036274
-318.60000003	0.00013835
-318.56666670	0.00011538
-318.53333336	0.00028901
-318.50000003	0.00049012
-318.46666670	0.00050678
-318.43333336	0.00018556
-318.40000003	0.00029228
-318.36666670	0.00020876
-318.33333336	0.00038288
-318.30000003	0.00030694
-318.26666670	0.00035249
-318.23333337	0.00007975
-318.20000003	0.00045274
-318.16666670	0.00037878
-318.13333337	0.00034784
-318.10000003	0.00052650
-318.06666670	0.00041759
-318.03333337	0.00066737
-318.00000003	0.00035027
-317.96666670	0.00042507
-317.93333337	0.00061441
-317.90000003	0.00047211
-317.86666670	0.00042879
-317.83333337	0.00027734
-317.80000003	0.00016451
-317.76666670	0.00008200
-317.73333337	0.00029455
-317.70000003	0.00019515
-317.66666670	0.00048396
-317.63333337	0.00029009
-317.60000003	-0.00011411
-317.56666670	0.00038940
-317.53333337	0.00016273
-317.50000004	0.00042456
-317.46666670	0.00041014
-317.43333337	0.00032486
-317.40000004	0.00052618
-317.36666670	0.00050594
-317.33333337	0.00026538
-317.30000004	0.00031346
-317.26666670	0.00024928
-317.23333337	0.00043132
-317.20000004	0.00048002
-317.16666670	0.00024697
-317.13333337	0.00030757
-317.10000004	0.00030192
-317.06666670	0.00011476
-317.03333337	0.00033984
-317.00000004	0.00022596
-316.96666670	0.00036282
-316.93333337	0.00076880
-316.90000004	0.00059930
-316.86666670	0.00049514
-316.83333337	0.00032458
-316.80000004	0.00038886
-316.76666670	0.00015852
-316.73333337	0.00044237
-316.70000004	0.00032599
-316.66666671	0.00019497
-316.63333337	0.00035191
-316.60000004	0.00031886
-316.56666671	0.00009228
-316.53333337	0.00057073
-316.50000004	0.00065093
-316.46666671	0.00041047
-316.43333337	0.00053494
-316.40000004	0.00056576
-316.36666671	0.00031463
-316.33333337	0.00031408
-316.30000004	0.00080389
-316.26666671	0.00044187
-316.23333337	0.00045072
-316.20000004	0.00063904
-316.16666671	0.00056881
-316.13333337	0.00060213
-316.10000004	0.00067571
-316.06666671	0.00035575
-316.03333337	0.00039226
-316.00000004	0.00049587
-315.96666671	0.00063463
-315.93333338	0.00051626
-315.90000004	0.00051716
-315.86666671	0.00053701
-315.83333338	0.00020514
-315.80000004	0.00088003
-315.76666671	0.00087044
-315.73333338	0.00066908
-315.70000004	0.00070146
-315.66666671	0.00057542
-315.63333338	0.00036015
-315.60000004	0.00016506
-315.56666671	0.00042527
-315.53333338	0.00049283
-315.50000004	0.00040507
-315.46666671	0.00049076
-315.43333338	0.00053551
-315.40000004	0.00066301
-315.36666671	0.00069131
-315.33333338	0.00057205
-315.30000004	0.00051128
-315.26666671	0.00067301
-315.23333338	0.00057158
-315.20000004	0.00054652
-315.16666671	0.00052148
-315.13333338	0.00068307
-315.10000005	0.00056526
-315.06666671	0.00072606
-315.03333338	0.00059445
-315.00000005	0.00064569
-314.96666671	0.00060728
-314.93333338	0.00050751
-314.90000005	0.00083875
-314.86666671	0.00062887
-314.83333338	0.00081384
-314.80000005	0.00064046
-314.76666671	0.00053456
-314.73333338	0.00052745
-314.70000005	0.00056603
-314.66666671	0.00059765
-314.63333338	0.00084270
-314.60000005	0.00074889
-314.56666671	0.00086198
-314.53333338	0.00079948
-314.50000005	0.00078020
-314.46666671	0.00083561
-314.43333338	0.00058578
-314.40000005	0.00059331
-314.36666672	0.00062441
-314.33333338	0.00068933
-314.30000005	0.00062574
-314.26666672	0.00058031
-314.23333338	0.00043370
-314.20000005	0.00029531
-314.16666672	0.00051860
-314.13333338	0.00057487
-314.10000005	0.00041312
-314.06666672	0.00077544
-314.03333338	0.00067011
-314.00000005	0.00064103
-313.96666672	0.00078366
-313.93333338	0.00072741
-313.90000005	0.00077491
-313.86666672	0.00061435
-313.83333338	0.00059788
-313.80000005	0.00053737
-313.76666672	0.00069686
-313.73333338	0.00081726
-313.70000005	0.00075545
-313.66666672	0.00049371
-313.63333338	0.00088676
-313.60000005	0.00078867
-313.56666672	0.00080738
-313.53333339	0.00050581
-313.50000005	0.00048566
-313.46666672	0.00086554
-313.43333339	0.00069159
-313.40000005	0.00093019
-313.36666672	0.00068761
-313.33333339	0.00078352
-313.30000005	0.00058121
-313.26666672	0.00047765
-313.23333339	0.00079672
-313.20000005	0.00078733
-313.16666672	0.00048720
-313.13333339	0.00080740
-313.10000005	0.00093907
-313.06666672	0.00078592
-313.03333339	0.00078465
-313.00000005	0.00044111
-312.96666672	0.00069358
-312.93333339	0.00042709
-312.90000005	0.00069604
-312.86666672	0.00074468
-312.83333339	0.00047649
-312.80000006	0.00064550
-312.76666672	0.00090815
-312.73333339	0.00077308
-312.70000006	0.00077652
-312.66666672	0.00095709
-312.63333339	0.00085195
-312.60000006	0.00062056
-312.56666672	0.00062960
-312.53333339	0.00042236
-312.50000006	0.00071656
-312.46666672	0.00048455
-312.43333339	0.00054386
-312.40000006	0.00045102
-312.36666672	0.00029181
-312.33333339	0.00052491
-312.30000006	0.00036886
-312.26666672	0.00060183
-312.23333339	0.00081592
-312.20000006	0.00049654
-312.16666672	0.00055446
-312.13333339	0.00053995
-312.10000006	0.00051710
-312.06666672	0.00039429
-312.03333339	0.00057874
-312.00000006	0.00037035
-311.96666673	0.00057996
-311.93333339	0.00091962
-311.90000006	0.00038310
-311.86666673	0.00066059
-311.83333339	0.00068810
-311.80000006	0.00068760
-311.76666673	0.00059348
-311.73333339	0.00065189
-311.70000006	0.00063183
-311.66666673	0.00035655
-311.63333339	0.00074085
-311.60000006	0.00064621
-311.56666673	0.00062250
-311.53333339	0.00061200
-311.50000006	0.00060673
-311.46666673	0.00053835
-311.43333339	0.00062702
-311.40000006	0.00077272
-311.36666673	0.00069181
-311.33333339	0.00066516
-311.30000006	0.00072425
-311.26666673	0.00076326
-311.23333340	0.00069544
-311.20000006	0.00040710
-311.16666673	0.00068650
-311.13333340	0.00080960
-311.10000006	0.00075010
-311.06666673	0.00091980
-311.03333340	0.00086368
-311.00000006	0.00087304
-310.96666673	0.00075389
-310.93333340	0.00070256
-310.90000006	0.00096202
-310.86666673	0.00091987
-310.83333340	0.00048839
-310.80000006	0.00086680
-310.76666673	0.00077704
-310.73333340	0.00049482
-310.70000006	0.00087590
-310.66666673	0.00077378
-310.63333340	0.00053112
-310.60000006	0.00069550
-310.56666673	0.00086098
-310.53333340	0.00076061
-310.50000006	0.00071561
-310.46666673	0.00089012
-310.43333340	0.00081825
-310.40000007	0.00106179
-310.36666673	0.00090941
-310.33333340	0.00098976
