# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:54:03
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-326.90000000	0.00000000
-326.86666667	-0.00000000
-326.83333334	0.00000003
-326.80000000	-0.00000017
-326.76666667	0.00000024
-326.73333334	0.00000021
-326.70000000	-0.00000059
-326.66666667	0.00000077
-326.63333334	-0.00000084
-326.60000000	0.00000095
-326.56666667	0.00000118
-326.53333334	0.00000033
-326.50000000	-0.00000009
-326.46666667	0.00000058
-326.43333334	-0.00000067
-326.40000000	0.00000741
-326.36666667	0.00001009
-326.33333334	0.00000047
-326.30000000	-0.00000877
-326.26666667	0.00000122
-326.23333334	-0.00000404
-326.20000000	-0.00000506
-326.16666667	-0.00001428
-326.13333334	0.00000682
-326.10000000	0.00000395
-326.06666667	-0.00001686
-326.03333334	-0.00000301
-326.00000000	-0.00000101
-325.96666667	0.00000984
-325.93333334	-0.00000341
-325.90000000	0.00000553
-325.86666667	0.00000948
-325.83333334	-0.00000028
-325.80000000	-0.00001328
-325.76666667	-0.00000916
-325.73333334	-0.00000028
-325.70000000	0.00002134
-325.66666667	-0.00002673
-325.63333334	0.00003609
-325.60000001	-0.00000080
-325.56666667	-0.00002020
-325.53333334	0.00004562
-325.50000001	0.00004277
-325.46666667	-0.00000886
-325.43333334	0.00005462
-325.40000001	0.00000041
-325.36666667	0.00004592
-325.33333334	0.00008149
-325.30000001	0.00003349
-325.26666667	0.00000942
-325.23333334	0.00009651
-325.20000001	0.00010965
-325.16666667	0.00005647
-325.13333334	0.00009910
-325.10000001	-0.00004428
-325.06666667	-0.00000069
-325.03333334	0.00003946
-325.00000001	0.00002328
-324.96666667	0.00006894
-324.93333334	0.00012466
-324.90000001	-0.00000488
-324.86666667	0.00006811
-324.83333334	0.00006256
-324.80000001	0.00012755
-324.76666667	0.00014090
-324.73333334	0.00002368
-324.70000001	0.00011979
-324.66666667	0.00008494
-324.63333334	0.00008935
-324.60000001	0.00003422
-324.56666667	0.00014893
-324.53333334	0.00012685
-324.50000001	0.00021836
-324.46666667	0.00015155
-324.43333334	0.00014316
-324.40000001	0.00025828
-324.36666667	0.00017108
-324.33333334	0.00030297
-324.30000001	0.00026408
-324.26666668	0.00001845
-324.23333334	0.00002833
-324.20000001	0.00009720
-324.16666668	0.00014312
-324.13333334	0.00009013
-324.10000001	0.00024495
-324.06666668	0.00033740
-324.03333334	0.00018394
-324.00000001	0.00013761
-323.96666668	-0.00002003
-323.93333334	0.00019773
-323.90000001	0.00020796
-323.86666668	0.00026591
-323.83333334	0.00032336
-323.80000001	0.00016357
-323.76666668	0.00014040
-323.73333334	0.00015621
-323.70000001	0.00020413
-323.66666668	0.00022957
-323.63333334	0.00040139
-323.60000001	0.00035978
-323.56666668	0.00027775
-323.53333334	0.00047587
-323.50000001	0.00020345
-323.46666668	0.00035323
-323.43333334	0.00029104
-323.40000001	0.00023388
-323.36666668	0.00008883
-323.33333334	0.00029299
-323.30000001	0.00014990
-323.26666668	0.00003859
-323.23333334	0.00013542
-323.20000001	0.00024378
-323.16666668	0.00034829
-323.13333334	0.00030004
-323.10000001	0.00010596
-323.06666668	0.00007554
-323.03333334	0.00028857
-323.00000001	0.00034911
-322.96666668	-0.00002151
-322.93333334	0.00041490
-322.90000001	0.00034178
-322.86666668	0.00031021
-322.83333335	0.00049028
-322.80000001	0.00028318
-322.76666668	0.00006428
-322.73333335	0.00051697
-322.70000001	0.00053098
-322.66666668	0.00016410
-322.63333335	0.00028300
-322.60000001	0.00016025
-322.56666668	0.00042834
-322.53333335	0.00008239
-322.50000001	0.00045376
-322.46666668	0.00009870
-322.43333335	0.00006301
-322.40000001	0.00021274
-322.36666668	-0.00012908
-322.33333335	0.00017399
-322.30000001	0.00010277
-322.26666668	0.00027903
-322.23333335	0.00018762
-322.20000001	0.00025169
-322.16666668	0.00016193
-322.13333335	0.00044837
-322.10000001	0.00009346
-322.06666668	0.00009724
-322.03333335	0.00033799
-322.00000001	0.00033631
-321.96666668	0.00037381
-321.93333335	0.00013070
-321.90000001	0.00023866
-321.86666668	0.00028539
-321.83333335	0.00008702
-321.80000001	0.00023203
-321.76666668	0.00033572
-321.73333335	0.00021913
-321.70000001	-0.00013031
-321.66666668	0.00016287
-321.63333335	0.00035204
-321.60000001	0.00011361
-321.56666668	-0.00016772
-321.53333335	0.00008820
-321.50000002	0.00010495
-321.46666668	0.00023796
-321.43333335	0.00028906
-321.40000002	0.00019139
-321.36666668	0.00036570
-321.33333335	-0.00013468
-321.30000002	0.00023393
-321.26666668	0.00020185
-321.23333335	0.00007198
-321.20000002	0.00014220
-321.16666668	0.00017359
-321.13333335	0.00006172
-321.10000002	0.00003534
-321.06666668	-0.00015449
-321.03333335	-0.00006531
-321.00000002	0.00000336
-320.96666668	0.00006577
-320.93333335	0.00022019
-320.90000002	0.00016946
-320.86666668	0.00032871
-320.83333335	0.00014949
-320.80000002	0.00015547
-320.76666668	0.00033796
-320.73333335	0.00030075
-320.70000002	0.00022985
-320.66666668	0.00012171
-320.63333335	0.00017514
-320.60000002	0.00021401
-320.56666668	-0.00000556
-320.53333335	-0.00003290
-320.50000002	0.00020233
-320.46666668	0.00003719
-320.43333335	0.00010922
-320.40000002	-0.00011479
-320.36666668	0.00002732
-320.33333335	0.00003279
-320.30000002	-0.00001492
-320.26666668	0.00005948
-320.23333335	-0.00017802
-320.20000002	-0.00010348
-320.16666669	0.00003053
-320.13333335	-0.00000475
-320.10000002	-0.00023089
-320.06666669	-0.00011326
-320.03333335	-0.00012707
-320.00000002	-0.00009762
-319.96666669	-0.00005268
-319.93333335	-0.00007353
-319.90000002	-0.00014021
-319.86666669	-0.00008647
-319.83333335	-0.00008981
-319.80000002	-0.00017084
-319.76666669	0.00007766
-319.73333335	-0.00006466
-319.70000002	0.00011165
-319.66666669	-0.00015710
-319.63333335	-0.00003560
-319.60000002	0.00018431
-319.56666669	0.00016514
-319.53333335	-0.00031280
-319.50000002	-0.00005907
-319.46666669	0.00022678
-319.43333335	0.00030239
-319.40000002	0.00010759
-319.36666669	0.00025184
-319.33333335	0.00016717
-319.30000002	0.00016231
-319.26666669	-0.00017847
-319.23333335	0.00032297
-319.20000002	0.00028903
-319.16666669	0.00031431
-319.13333335	0.00025288
-319.10000002	0.00028220
-319.06666669	0.00035217
-319.03333335	0.00010884
-319.00000002	0.00003012
-318.96666669	0.00004944
-318.93333335	0.00002664
-318.90000002	0.00022730
-318.86666669	0.00017896
-318.83333335	0.00027035
-318.80000002	0.00000738
-318.76666669	0.00011037
-318.73333336	0.00001304
-318.70000002	-0.00004766
-318.66666669	0.00005069
-318.63333336	0.00020005
-318.60000002	0.00002281
-318.56666669	0.00004319
-318.53333336	0.00006121
-318.50000002	0.00013546
-318.46666669	0.00013762
-318.43333336	0.00017039
-318.40000002	0.00016671
-318.36666669	0.00031482
-318.33333336	0.00014606
-318.30000002	0.00009249
-318.26666669	0.00019654
-318.23333336	0.00017514
-318.20000002	0.00010618
-318.16666669	0.00025520
-318.13333336	-0.00022710
-318.10000002	-0.00014663
-318.06666669	0.00006963
-318.03333336	0.00006366
-318.00000002	-0.00016203
-317.96666669	-0.00000615
-317.93333336	0.00018636
-317.90000002	0.00021435
-317.86666669	0.00004154
-317.83333336	-0.00003553
-317.80000002	0.00001873
-317.76666669	0.00012786
-317.73333336	0.00003298
-317.70000002	-0.00001917
-317.66666669	-0.00003209
-317.63333336	-0.00018158
-317.60000002	0.00028852
-317.56666669	-0.00007987
-317.53333336	0.00019240
-317.50000002	-0.00003300
-317.46666669	0.00001835
-317.43333336	0.00021186
-317.40000003	0.00008834
-317.36666669	0.00004771
-317.33333336	0.00013643
-317.30000003	0.00012711
-317.26666669	0.00020486
-317.23333336	0.00012101
-317.20000003	-0.00003097
-317.16666669	0.00021246
-317.13333336	-0.00009266
-317.10000003	0.00001157
-317.06666669	-0.00008128
-317.03333336	-0.00000208
-317.00000003	0.00008608
-316.96666669	-0.00001114
-316.93333336	0.00019804
-316.90000003	-0.00000783
-316.86666669	-0.00002742
-316.83333336	-0.00007471
-316.80000003	0.00002909
-316.76666669	-0.00005827
-316.73333336	0.00027530
-316.70000003	0.00035940
-316.66666669	0.00005434
-316.63333336	-0.00014171
-316.60000003	0.00003466
-316.56666669	-0.00001827
-316.53333336	0.00017895
-316.50000003	0.00023436
-316.46666669	0.00015175
-316.43333336	0.00021508
-316.40000003	-0.00004185
-316.36666669	-0.00020976
-316.33333336	0.00010453
-316.30000003	-0.00018921
-316.26666669	-0.00001975
-316.23333336	0.00020653
-316.20000003	-0.00011014
-316.16666669	0.00006857
-316.13333336	0.00020014
-316.10000003	-0.00005152
-316.06666670	-0.00015617
-316.03333336	-0.00025661
-316.00000003	0.00010432
-315.96666670	0.00001421
-315.93333336	0.00027068
-315.90000003	-0.00002578
-315.86666670	0.00021566
-315.83333336	0.00003794
-315.80000003	0.00015049
-315.76666670	0.00026733
-315.73333336	0.00016488
-315.70000003	0.00019019
-315.66666670	0.00043241
-315.63333336	0.00029189
-315.60000003	0.00017864
-315.56666670	0.00021157
-315.53333336	0.00008274
-315.50000003	0.00045424
-315.46666670	0.00023993
-315.43333336	0.00025571
-315.40000003	0.00035151
-315.36666670	0.00026295
-315.33333336	0.00007499
-315.30000003	-0.00020394
-315.26666670	-0.00007844
-315.23333336	0.00022654
-315.20000003	0.00000929
-315.16666670	0.00003319
-315.13333336	-0.00003154
-315.10000003	0.00026690
-315.06666670	0.00026277
-315.03333336	0.00010317
-315.00000003	0.00049436
-314.96666670	0.00014917
-314.93333336	0.00041108
-314.90000003	0.00013699
-314.86666670	0.00029400
-314.83333336	0.00057152
-314.80000003	0.00038046
-314.76666670	0.00025401
-314.73333336	-0.00001169
-314.70000003	0.00016685
-314.66666670	0.00021549
-314.63333337	0.00019622
-314.60000003	0.00001635
-314.56666670	0.00022507
-314.53333337	0.00013106
-314.50000003	0.00020090
-314.46666670	0.00012806
-314.43333337	0.00005461
-314.40000003	0.00026140
-314.36666670	0.00030886
-314.33333337	0.00033774
-314.30000003	0.00012014
-314.26666670	0.00002621
-314.23333337	0.00005131
-314.20000003	0.00016277
-314.16666670	0.00003226
-314.13333337	0.00004639
-314.10000003	0.00014635
-314.06666670	0.00020580
-314.03333337	-0.00009332
-314.00000003	0.00006396
-313.96666670	0.00031100
-313.93333337	0.00028402
-313.90000003	0.00024148
-313.86666670	0.00009357
-313.83333337	0.00017603
-313.80000003	0.00016171
-313.76666670	-0.00015779
-313.73333337	0.00015158
-313.70000003	-0.00000606
-313.66666670	0.00019293
-313.63333337	0.00022080
-313.60000003	0.00020746
-313.56666670	0.00010436
-313.53333337	0.00006173
-313.50000003	-0.00019667
-313.46666670	0.00004033
-313.43333337	0.00022701
