# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 50 waveforms. Timestamp: 2026-05-07T11:43:29
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-39.34449821
0.00732601	-36.49426016
0.01465201	-25.95387922
0.02197802	-25.70440458
0.02930403	-33.02912380
0.03663004	-34.32346737
0.04395604	-24.01099028
0.05128205	-20.32442719
0.05860806	-25.00173337
0.06593407	-21.28453877
0.07326007	-16.75919785
0.08058608	-22.32957859
0.08791209	-17.73351090
0.09523810	-10.71090803
0.10256410	-12.43492402
0.10989011	-15.81915071
0.11721612	-9.05532105
0.12454213	-8.70471740
0.13186813	-10.75786533
0.13919414	-8.11934102
0.14652015	-6.87075062
0.15384615	-7.81960628
0.16117216	-7.47310606
0.16849817	-5.56740502
0.17582418	-5.45902479
0.18315018	-6.92997352
0.19047619	-5.58584725
0.19780220	-4.07594189
0.20512821	-4.66952250
0.21245421	-5.10470010
0.21978022	-3.79676454
0.22710623	-2.66623174
0.23443224	-3.16252150
0.24175824	-3.89192362
0.24908425	-2.34848406
0.25641026	-2.13516811
0.26373626	-3.18454337
0.27106227	-1.80777376
0.27838828	-1.27308408
0.28571429	-2.31980248
0.29304029	-1.66180483
0.30036630	-0.99063507
0.30769231	-1.47682810
0.31501832	-1.56703242
0.32234432	-1.21580082
0.32967033	-0.97919169
0.33699634	-1.11739749
0.34432235	-1.17207073
0.35164835	-0.64480421
0.35897436	-0.55124478
0.36630037	-0.84782391
0.37362638	-0.81202962
0.38095238	-0.52905336
0.38827839	-0.16452541
0.39560440	-0.13412727
0.40293040	-0.18605334
0.41025641	-0.00023996
0.41758242	-0.07297416
0.42490843	-0.21908776
0.43223443	-0.29652268
0.43956044	-0.39214915
0.44688645	-0.33450023
0.45421246	-0.38312322
0.46153846	-0.46172472
0.46886447	-0.53992486
0.47619048	-0.60521675
0.48351649	-0.48365549
0.49084249	-0.46298211
0.49816850	-0.40473403
0.50549451	-0.44080892
0.51282052	-0.36552339
0.52014652	-0.09958922
0.52747253	-0.64660739
0.53479854	-0.65983728
0.54212454	-0.09965558
0.54945055	-1.57955619
0.55677656	-3.57353194
0.56410257	-2.35141238
0.57142857	-1.20478509
0.57875458	-0.94310532
0.58608059	-1.35382258
0.59340660	-1.20452954
0.60073260	-0.88688918
0.60805861	-1.45274310
0.61538462	-1.30965441
0.62271063	-1.17470243
0.63003663	-1.45475420
0.63736264	-1.15819084
0.64468865	-1.42070308
0.65201465	-1.40022094
0.65934066	-1.30918096
0.66666667	-1.92231401
0.67399268	-1.59557921
0.68131868	-1.85115609
0.68864469	-2.45630460
0.69597070	-1.95119381
0.70329671	-2.56588632
0.71062271	-2.82343502
0.71794872	-2.37413904
0.72527473	-3.22149973
0.73260074	-3.16505785
0.73992674	-3.02886242
0.74725275	-4.56278600
0.75457876	-5.12872981
0.76190477	-4.03856764
0.76923077	-3.48576286
0.77655678	-3.70612519
0.78388279	-3.78902439
0.79120879	-3.65088672
0.79853480	-3.93053726
0.80586081	-4.03128897
0.81318682	-4.19341470
0.82051282	-4.51461521
0.82783883	-4.49899231
0.83516484	-4.61810144
0.84249085	-4.74870665
0.84981685	-4.93499854
0.85714286	-5.08757463
0.86446887	-5.15049447
0.87179488	-5.37444061
0.87912088	-5.24868683
0.88644689	-5.36985717
0.89377290	-5.54567473
0.90109890	-5.38548621
