# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 50 waveforms. Timestamp: 2026-05-07T11:43:29
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-319.36666669	0.00054509
-319.33333336	0.00070046
-319.30000003	0.00067522
-319.26666669	0.00037573
-319.23333336	0.00047259
-319.20000003	0.00071490
-319.16666669	0.00070818
-319.13333336	0.00046809
-319.10000003	0.00057297
-319.06666670	0.00038081
-319.03333336	0.00032178
-319.00000003	0.00075503
-318.96666670	0.00077651
-318.93333336	0.00089741
-318.90000003	0.00074856
-318.86666670	0.00041416
-318.83333336	0.00073617
-318.80000003	0.00048423
-318.76666670	0.00033745
-318.73333336	0.00064080
-318.70000003	0.00058003
-318.66666670	0.00059938
-318.63333336	0.00041034
-318.60000003	0.00104734
-318.56666670	0.00082924
-318.53333336	0.00103028
-318.50000003	0.00040444
-318.46666670	0.00051048
-318.43333336	0.00069303
-318.40000003	0.00081044
-318.36666670	0.00024430
-318.33333336	0.00056960
-318.30000003	0.00053784
-318.26666670	0.00092612
-318.23333337	0.00074432
-318.20000003	0.00103048
-318.16666670	0.00046464
-318.13333337	0.00021197
-318.10000003	0.00059131
-318.06666670	0.00048882
-318.03333337	0.00053044
-318.00000003	0.00030659
-317.96666670	0.00037459
-317.93333337	0.00077219
-317.90000003	0.00033796
-317.86666670	0.00048868
-317.83333337	0.00045095
-317.80000003	0.00052788
-317.76666670	0.00069322
-317.73333337	0.00078096
-317.70000003	0.00053798
-317.66666670	0.00063052
-317.63333337	0.00066423
-317.60000003	0.00071265
-317.56666670	0.00120980
-317.53333337	0.00120035
-317.50000004	0.00017547
-317.46666670	0.00050435
-317.43333337	0.00050063
-317.40000004	0.00050949
-317.36666670	0.00078831
-317.33333337	0.00032462
-317.30000004	0.00064040
-317.26666670	0.00064237
-317.23333337	0.00054800
-317.20000004	0.00028659
-317.16666670	0.00064061
-317.13333337	0.00057876
-317.10000004	0.00039746
-317.06666670	0.00068826
-317.03333337	0.00031413
-317.00000004	0.00041906
-316.96666670	0.00057484
-316.93333337	0.00013940
-316.90000004	0.00040627
-316.86666670	0.00006306
-316.83333337	0.00033852
-316.80000004	0.00039968
-316.76666670	0.00035257
-316.73333337	0.00033321
-316.70000004	0.00009450
-316.66666671	0.00018037
-316.63333337	0.00026024
-316.60000004	-0.00007343
-316.56666671	0.00013293
-316.53333337	0.00064578
-316.50000004	0.00032388
-316.46666671	0.00057178
-316.43333337	0.00008547
-316.40000004	0.00048674
-316.36666671	0.00021990
-316.33333337	0.00035023
-316.30000004	0.00031972
-316.26666671	0.00014317
-316.23333337	0.00041490
-316.20000004	0.00004024
-316.16666671	0.00083127
-316.13333337	0.00015455
-316.10000004	0.00028729
-316.06666671	0.00038553
-316.03333337	0.00058814
-316.00000004	0.00037973
-315.96666671	0.00027393
-315.93333338	0.00000144
-315.90000004	0.00031186
-315.86666671	0.00031128
-315.83333338	0.00000383
-315.80000004	0.00024497
-315.76666671	0.00030998
-315.73333338	0.00001302
-315.70000004	-0.00006083
-315.66666671	0.00005820
-315.63333338	0.00019143
-315.60000004	0.00028994
-315.56666671	0.00027823
-315.53333338	0.00045356
-315.50000004	0.00035520
-315.46666671	0.00019310
-315.43333338	0.00013262
-315.40000004	0.00038739
-315.36666671	0.00001132
-315.33333338	-0.00017139
-315.30000004	0.00012676
-315.26666671	0.00034864
-315.23333338	-0.00026125
-315.20000004	0.00007367
-315.16666671	-0.00021703
-315.13333338	0.00014222
-315.10000005	0.00031139
-315.06666671	0.00004327
-315.03333338	0.00040811
-315.00000005	-0.00013707
-314.96666671	0.00010157
-314.93333338	-0.00017535
-314.90000005	0.00001695
-314.86666671	0.00035329
-314.83333338	0.00007947
-314.80000005	0.00001323
-314.76666671	-0.00025431
-314.73333338	0.00017580
-314.70000005	0.00038036
-314.66666671	-0.00004890
-314.63333338	-0.00022332
-314.60000005	-0.00034383
-314.56666671	0.00011297
-314.53333338	-0.00012141
-314.50000005	0.00034072
-314.46666671	0.00021766
-314.43333338	0.00001801
-314.40000005	0.00025205
-314.36666672	0.00015177
-314.33333338	0.00023631
-314.30000005	-0.00008048
-314.26666672	0.00019101
-314.23333338	0.00049730
-314.20000005	0.00001340
-314.16666672	0.00012848
-314.13333338	0.00041405
-314.10000005	0.00027823
-314.06666672	-0.00009002
-314.03333338	0.00002697
-314.00000005	-0.00017944
-313.96666672	-0.00026215
-313.93333338	-0.00019255
-313.90000005	0.00002167
-313.86666672	-0.00026522
-313.83333338	0.00010176
-313.80000005	-0.00012522
-313.76666672	-0.00026943
-313.73333338	0.00007561
-313.70000005	-0.00011557
-313.66666672	0.00016257
-313.63333338	0.00000570
-313.60000005	0.00007142
-313.56666672	0.00035298
-313.53333339	0.00013700
-313.50000005	0.00042448
-313.46666672	0.00028389
-313.43333339	0.00028508
-313.40000005	0.00061114
-313.36666672	-0.00007734
-313.33333339	0.00057727
-313.30000005	-0.00002352
-313.26666672	0.00016777
-313.23333339	0.00027406
-313.20000005	0.00036815
-313.16666672	0.00010670
-313.13333339	0.00046836
-313.10000005	0.00032267
-313.06666672	0.00015823
-313.03333339	0.00022548
-313.00000005	-0.00004406
-312.96666672	-0.00006503
-312.93333339	0.00024408
-312.90000005	-0.00003049
-312.86666672	0.00009515
-312.83333339	-0.00000821
-312.80000006	-0.00010719
-312.76666672	-0.00005995
-312.73333339	0.00021239
-312.70000006	0.00010700
-312.66666672	0.00019074
-312.63333339	0.00007655
-312.60000006	-0.00001803
-312.56666672	0.00016056
-312.53333339	0.00003974
-312.50000006	0.00018200
-312.46666672	-0.00004400
-312.43333339	-0.00025633
-312.40000006	-0.00029338
-312.36666672	0.00010141
-312.33333339	0.00002718
-312.30000006	-0.00010948
-312.26666672	0.00014853
-312.23333339	0.00043719
-312.20000006	-0.00002715
-312.16666672	0.00050756
-312.13333339	-0.00006302
-312.10000006	-0.00000155
-312.06666672	-0.00006125
-312.03333339	-0.00027460
-312.00000006	0.00001807
-311.96666673	0.00006732
-311.93333339	-0.00008923
-311.90000006	-0.00006577
-311.86666673	-0.00010723
-311.83333339	-0.00007930
-311.80000006	-0.00013969
-311.76666673	0.00044960
-311.73333339	0.00034165
-311.70000006	0.00048952
-311.66666673	0.00021710
-311.63333339	-0.00008313
-311.60000006	0.00006930
-311.56666673	0.00003430
-311.53333339	-0.00026662
-311.50000006	0.00008259
-311.46666673	-0.00028491
-311.43333339	-0.00006978
-311.40000006	0.00014457
-311.36666673	0.00031705
-311.33333339	0.00001054
-311.30000006	0.00018512
-311.26666673	0.00019465
-311.23333340	-0.00005875
-311.20000006	0.00040937
-311.16666673	0.00040404
-311.13333340	0.00002026
-311.10000006	0.00034330
-311.06666673	-0.00003271
-311.03333340	0.00004714
-311.00000006	0.00017573
-310.96666673	0.00036607
-310.93333340	0.00041638
-310.90000006	-0.00011037
-310.86666673	0.00019672
-310.83333340	0.00059383
-310.80000006	-0.00012170
-310.76666673	-0.00014147
-310.73333340	0.00031651
-310.70000006	0.00001130
-310.66666673	0.00011019
-310.63333340	0.00002156
-310.60000006	-0.00014929
-310.56666673	0.00008104
-310.53333340	0.00003348
-310.50000006	-0.00016582
-310.46666673	0.00023051
-310.43333340	0.00041264
-310.40000007	0.00004311
-310.36666673	0.00000960
-310.33333340	-0.00002064
-310.30000007	0.00004024
-310.26666673	-0.00002283
-310.23333340	0.00032867
-310.20000007	0.00056450
-310.16666673	0.00016786
-310.13333340	0.00008784
-310.10000007	-0.00029844
-310.06666673	0.00017096
-310.03333340	0.00017439
-310.00000007	0.00040117
-309.96666673	0.00011301
-309.93333340	-0.00006019
-309.90000007	-0.00016799
-309.86666673	0.00042340
-309.83333340	0.00028345
-309.80000007	0.00038772
-309.76666673	0.00028993
-309.73333340	0.00021304
-309.70000007	-0.00012289
-309.66666674	0.00001797
-309.63333340	-0.00014376
-309.60000007	-0.00001011
-309.56666674	0.00026949
-309.53333340	0.00008566
-309.50000007	0.00014707
-309.46666674	0.00005680
-309.43333340	0.00037884
-309.40000007	-0.00002562
-309.36666674	0.00013458
-309.33333340	0.00018123
-309.30000007	-0.00009511
-309.26666674	-0.00021622
-309.23333340	-0.00002204
-309.20000007	0.00004424
-309.16666674	-0.00009709
-309.13333340	0.00009985
-309.10000007	-0.00005865
-309.06666674	-0.00038163
-309.03333340	0.00014947
-309.00000007	0.00016700
-308.96666674	0.00030533
-308.93333340	0.00009348
-308.90000007	-0.00028167
-308.86666674	-0.00043886
-308.83333341	-0.00054470
-308.80000007	0.00015165
-308.76666674	0.00012253
-308.73333341	0.00007364
-308.70000007	0.00009398
-308.66666674	0.00009144
-308.63333341	0.00032043
-308.60000007	-0.00019384
-308.56666674	0.00008782
-308.53333341	-0.00010427
-308.50000007	0.00015358
-308.46666674	0.00004150
-308.43333341	-0.00005427
-308.40000007	-0.00017413
-308.36666674	-0.00000784
-308.33333341	0.00018353
-308.30000007	0.00010527
-308.26666674	-0.00016551
-308.23333341	0.00005857
-308.20000007	-0.00014868
-308.16666674	-0.00031340
-308.13333341	-0.00031031
-308.10000008	-0.00005106
-308.06666674	0.00006900
-308.03333341	-0.00027784
-308.00000008	-0.00050144
-307.96666674	-0.00015031
-307.93333341	-0.00004282
-307.90000008	-0.00028834
-307.86666674	-0.00029887
-307.83333341	-0.00017812
-307.80000008	-0.00024110
-307.76666674	-0.00016167
-307.73333341	-0.00005565
-307.70000008	-0.00043486
-307.66666674	-0.00022956
-307.63333341	-0.00020820
-307.60000008	-0.00000658
-307.56666674	-0.00045682
-307.53333341	-0.00007493
-307.50000008	-0.00018526
-307.46666674	-0.00004442
-307.43333341	-0.00020189
-307.40000008	-0.00026312
-307.36666674	-0.00002433
-307.33333341	-0.00007731
-307.30000008	-0.00030515
-307.26666675	0.00017307
-307.23333341	-0.00013539
-307.20000008	-0.00029912
-307.16666675	-0.00012609
-307.13333341	-0.00028976
-307.10000008	-0.00039650
-307.06666675	-0.00034558
-307.03333341	-0.00004668
-307.00000008	-0.00048097
-306.96666675	-0.00015910
-306.93333341	-0.00017076
-306.90000008	-0.00049831
-306.86666675	-0.00050332
-306.83333341	-0.00027141
-306.80000008	-0.00064534
-306.76666675	-0.00047056
-306.73333341	-0.00035238
-306.70000008	-0.00046134
-306.66666675	-0.00062531
-306.63333341	-0.00020846
-306.60000008	-0.00032426
-306.56666675	-0.00033670
-306.53333342	-0.00080246
-306.50000008	-0.00072845
-306.46666675	-0.00066972
-306.43333342	-0.00024555
-306.40000008	-0.00026085
-306.36666675	-0.00011749
-306.33333342	-0.00076912
-306.30000008	-0.00039148
-306.26666675	-0.00032718
-306.23333342	-0.00025486
-306.20000008	-0.00057290
-306.16666675	-0.00043347
-306.13333342	-0.00047593
-306.10000008	-0.00067417
-306.06666675	-0.00091762
-306.03333342	-0.00080090
-306.00000008	-0.00090408
-305.96666675	-0.00046930
-305.93333342	-0.00034150
-305.90000008	-0.00057108
-305.86666675	-0.00077609
-305.83333342	-0.00054972
-305.80000008	-0.00066570
-305.76666675	-0.00050135
-305.73333342	-0.00077839
-305.70000009	-0.00042321
-305.66666675	-0.00058574
-305.63333342	-0.00074029
-305.60000009	-0.00093486
-305.56666675	-0.00053470
-305.53333342	-0.00080701
-305.50000009	-0.00127622
-305.46666675	-0.00105571
-305.43333342	-0.00062641
-305.40000009	-0.00074122
-305.36666675	-0.00073874
-305.33333342	-0.00079454
-305.30000009	-0.00085265
-305.26666675	-0.00071163
-305.23333342	-0.00114368
-305.20000009	-0.00071467
-305.16666675	-0.00082695
-305.13333342	-0.00057689
-305.10000009	-0.00061271
-305.06666675	-0.00064900
-305.03333342	-0.00085455
-305.00000009	-0.00078403
-304.96666676	-0.00049556
-304.93333342	-0.00043251
-304.90000009	-0.00025440
-304.86666676	-0.00038434
-304.83333342	-0.00057230
-304.80000009	-0.00080442
-304.76666676	-0.00073548
-304.73333342	-0.00057535
-304.70000009	-0.00071903
-304.66666676	-0.00038890
-304.63333342	-0.00032410
-304.60000009	-0.00036550
-304.56666676	-0.00061882
-304.53333342	-0.00032186
-304.50000009	-0.00054007
-304.46666676	-0.00040332
-304.43333342	-0.00015907
-304.40000009	-0.00043595
-304.36666676	-0.00022306
-304.33333342	-0.00061891
-304.30000009	-0.00000041
-304.26666676	-0.00011978
-304.23333342	-0.00017918
-304.20000009	-0.00019526
-304.16666676	-0.00020240
-304.13333343	-0.00028373
-304.10000009	-0.00016865
-304.06666676	0.00007662
-304.03333343	-0.00001987
-304.00000009	0.00002867
-303.96666676	0.00003174
-303.93333343	-0.00020403
-303.90000009	-0.00025590
-303.86666676	0.00000213
-303.83333343	-0.00018153
-303.80000009	-0.00040834
-303.76666676	-0.00015705
-303.73333343	-0.00026927
-303.70000009	-0.00036975
-303.66666676	0.00009753
-303.63333343	-0.00025730
-303.60000009	-0.00055709
-303.56666676	-0.00034826
-303.53333343	-0.00048617
-303.50000009	-0.00018763
-303.46666676	0.00000095
-303.43333343	0.00006745
-303.40000010	-0.00024227
-303.36666676	-0.00028599
-303.33333343	-0.00011955
-303.30000010	-0.00038125
-303.26666676	-0.00014264
-303.23333343	-0.00035702
-303.20000010	-0.00013258
-303.16666676	-0.00050057
-303.13333343	-0.00039613
-303.10000010	-0.00051966
-303.06666676	-0.00040938
-303.03333343	-0.00051962
-303.00000010	-0.00053541
-302.96666676	-0.00077492
-302.93333343	-0.00066811
-302.90000010	-0.00024809
-302.86666676	-0.00058071
-302.83333343	-0.00078114
-302.80000010	-0.00096367
-302.76666676	-0.00077549
-302.73333343	-0.00092748
-302.70000010	-0.00065563
-302.66666676	-0.00093131
-302.63333343	-0.00117693
-302.60000010	-0.00107022
-302.56666677	-0.00073366
-302.53333343	-0.00088785
-302.50000010	-0.00121031
-302.46666677	-0.00080724
-302.43333343	-0.00104155
-302.40000010	-0.00121161
-302.36666677	-0.00094921
-302.33333343	-0.00126865
-302.30000010	-0.00128197
-302.26666677	-0.00110482
-302.23333343	-0.00134590
-302.20000010	-0.00120552
-302.16666677	-0.00138762
-302.13333343	-0.00103116
-302.10000010	-0.00097416
-302.06666677	-0.00118357
-302.03333343	-0.00126134
-302.00000010	-0.00097845
-301.96666677	-0.00080464
-301.93333343	-0.00077837
-301.90000010	-0.00132013
-301.86666677	-0.00080210
-301.83333344	-0.00081232
-301.80000010	-0.00081958
-301.76666677	-0.00049493
-301.73333344	-0.00037438
-301.70000010	-0.00026715
-301.66666677	-0.00018756
-301.63333344	-0.00019789
-301.60000010	-0.00030792
-301.56666677	-0.00039588
-301.53333344	0.00016692
-301.50000010	-0.00030604
-301.46666677	-0.00008169
-301.43333344	0.00007617
-301.40000010	0.00022094
-301.36666677	0.00034713
-301.33333344	0.00013385
-301.30000010	0.00082401
-301.26666677	0.00094975
-301.23333344	0.00076412
-301.20000010	0.00098018
-301.16666677	0.00101781
-301.13333344	0.00080424
-301.10000010	0.00099850
-301.06666677	0.00113798
-301.03333344	0.00143040
-301.00000011	0.00126490
-300.96666677	0.00155496
-300.93333344	0.00150388
-300.90000011	0.00182273
-300.86666677	0.00191592
-300.83333344	0.00199536
-300.80000011	0.00217818
-300.76666677	0.00225132
-300.73333344	0.00204551
-300.70000011	0.00240279
-300.66666677	0.00258764
-300.63333344	0.00243997
-300.60000011	0.00252715
-300.56666677	0.00251815
-300.53333344	0.00286077
-300.50000011	0.00285815
-300.46666677	0.00309425
-300.43333344	0.00286562
-300.40000011	0.00317136
-300.36666677	0.00309058
-300.33333344	0.00324633
-300.30000011	0.00332294
-300.26666678	0.00338943
-300.23333344	0.00332649
-300.20000011	0.00367261
-300.16666678	0.00344848
-300.13333344	0.00380936
-300.10000011	0.00373333
-300.06666678	0.00343919
-300.03333344	0.00375816
-300.00000011	0.00367440
-299.96666678	0.00400396
-299.93333344	0.00348854
-299.90000011	0.00367451
-299.86666678	0.00400202
-299.83333344	0.00415405
-299.80000011	0.00378871
-299.76666678	0.00437532
-299.73333344	0.00415453
-299.70000011	0.00405761
-299.66666678	0.00407716
-299.63333344	0.00385350
-299.60000011	0.00419762
-299.56666678	0.00420450
-299.53333344	0.00464791
-299.50000011	0.00439311
-299.46666678	0.00443919
-299.43333345	0.00447787
-299.40000011	0.00454994
-299.36666678	0.00451348
-299.33333345	0.00460405
-299.30000011	0.00422258
-299.26666678	0.00453799
-299.23333345	0.00447460
-299.20000011	0.00447418
-299.16666678	0.00431737
-299.13333345	0.00448990
-299.10000011	0.00397424
-299.06666678	0.00467961
-299.03333345	0.00409018
-299.00000011	0.00422400
-298.96666678	0.00395837
-298.93333345	0.00385938
-298.90000011	0.00370199
-298.86666678	0.00363695
-298.83333345	0.00362070
-298.80000011	0.00306836
-298.76666678	0.00372167
-298.73333345	0.00321506
-298.70000012	0.00330857
-298.66666678	0.00324083
-298.63333345	0.00307461
-298.60000012	0.00305833
-298.56666678	0.00308624
-298.53333345	0.00320532
-298.50000012	0.00275709
-298.46666678	0.00230482
-298.43333345	0.00246697
-298.40000012	0.00238687
-298.36666678	0.00236920
-298.33333345	0.00200252
-298.30000012	0.00241125
-298.26666678	0.00187617
-298.23333345	0.00202282
-298.20000012	0.00157081
-298.16666678	0.00137390
-298.13333345	0.00072255
-298.10000012	0.00067666
-298.06666678	0.00042756
-298.03333345	0.00020761
-298.00000012	-0.00042776
-297.96666678	-0.00059526
-297.93333345	-0.00032149
-297.90000012	-0.00069022
-297.86666679	-0.00101110
-297.83333345	-0.00124136
-297.80000012	-0.00129178
-297.76666679	-0.00163577
-297.73333345	-0.00164300
-297.70000012	-0.00161628
-297.66666679	-0.00223135
-297.63333345	-0.00254512
-297.60000012	-0.00280288
-297.56666679	-0.00296262
-297.53333345	-0.00293866
-297.50000012	-0.00307012
-297.46666679	-0.00353903
-297.43333345	-0.00359019
-297.40000012	-0.00333666
-297.36666679	-0.00387844
-297.33333345	-0.00399670
-297.30000012	-0.00412083
-297.26666679	-0.00438386
-297.23333345	-0.00426084
-297.20000012	-0.00395799
-297.16666679	-0.00407996
-297.13333346	-0.00412955
-297.10000012	-0.00432998
-297.06666679	-0.00427288
-297.03333346	-0.00417007
-297.00000012	-0.00403505
-296.96666679	-0.00382425
-296.93333346	-0.00396946
-296.90000012	-0.00402389
-296.86666679	-0.00333040
-296.83333346	-0.00323044
-296.80000012	-0.00300141
-296.76666679	-0.00264176
-296.73333346	-0.00284931
-296.70000012	-0.00272291
-296.66666679	-0.00269019
-296.63333346	-0.00251620
-296.60000012	-0.00197223
-296.56666679	-0.00212149
