# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-05-07T11:41:15
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-320.20000002	0.00013798
-320.16666669	0.00008212
-320.13333336	0.00014284
-320.10000002	0.00011328
-320.06666669	0.00026691
-320.03333336	0.00023224
-320.00000002	0.00021941
-319.96666669	0.00027910
-319.93333336	0.00026382
-319.90000002	0.00026381
-319.86666669	0.00029170
-319.83333336	0.00026562
-319.80000003	0.00024087
-319.76666669	0.00035236
-319.73333336	0.00034179
-319.70000003	0.00026498
-319.66666669	0.00040250
-319.63333336	0.00041207
-319.60000003	0.00033109
-319.56666669	0.00033495
-319.53333336	0.00032679
-319.50000003	0.00038071
-319.46666669	0.00038934
-319.43333336	0.00038886
-319.40000003	0.00030816
-319.36666669	0.00033571
-319.33333336	0.00040900
-319.30000003	0.00041289
-319.26666669	0.00048061
-319.23333336	0.00048248
-319.20000003	0.00037319
-319.16666669	0.00041393
-319.13333336	0.00050186
-319.10000003	0.00041754
-319.06666670	0.00044371
-319.03333336	0.00040342
-319.00000003	0.00044971
-318.96666670	0.00039899
-318.93333336	0.00050257
-318.90000003	0.00046270
-318.86666670	0.00050129
-318.83333336	0.00050667
-318.80000003	0.00048283
-318.76666670	0.00047877
-318.73333336	0.00047668
-318.70000003	0.00054550
-318.66666670	0.00043429
-318.63333336	0.00057674
-318.60000003	0.00053061
-318.56666670	0.00042035
-318.53333336	0.00049430
-318.50000003	0.00045644
-318.46666670	0.00051826
-318.43333336	0.00054558
-318.40000003	0.00047924
-318.36666670	0.00054425
-318.33333336	0.00060498
-318.30000003	0.00063794
-318.26666670	0.00052888
-318.23333337	0.00052131
-318.20000003	0.00048600
-318.16666670	0.00050052
-318.13333337	0.00057987
-318.10000003	0.00052437
-318.06666670	0.00052267
-318.03333337	0.00056956
-318.00000003	0.00049554
-317.96666670	0.00054446
-317.93333337	0.00054436
-317.90000003	0.00057605
-317.86666670	0.00052951
-317.83333337	0.00054694
-317.80000003	0.00062328
-317.76666670	0.00054462
-317.73333337	0.00049746
-317.70000003	0.00047454
-317.66666670	0.00049741
-317.63333337	0.00046475
-317.60000003	0.00049619
-317.56666670	0.00044663
-317.53333337	0.00042756
-317.50000004	0.00051987
-317.46666670	0.00036812
-317.43333337	0.00047045
-317.40000004	0.00053044
-317.36666670	0.00045541
-317.33333337	0.00055711
-317.30000004	0.00045186
-317.26666670	0.00050426
-317.23333337	0.00050260
-317.20000004	0.00046620
-317.16666670	0.00038884
-317.13333337	0.00042059
-317.10000004	0.00040297
-317.06666670	0.00041651
-317.03333337	0.00033494
-317.00000004	0.00042647
-316.96666670	0.00045220
-316.93333337	0.00033219
-316.90000004	0.00038814
-316.86666670	0.00032925
-316.83333337	0.00030020
-316.80000004	0.00031657
-316.76666670	0.00029395
-316.73333337	0.00035376
-316.70000004	0.00029460
-316.66666671	0.00038630
-316.63333337	0.00028194
-316.60000004	0.00032041
-316.56666671	0.00024328
-316.53333337	0.00025574
-316.50000004	0.00030265
-316.46666671	0.00033231
-316.43333337	0.00024936
-316.40000004	0.00030504
-316.36666671	0.00026937
-316.33333337	0.00026784
-316.30000004	0.00031940
-316.26666671	0.00031071
-316.23333337	0.00021967
-316.20000004	0.00033168
-316.16666671	0.00030576
-316.13333337	0.00018659
-316.10000004	0.00029980
-316.06666671	0.00028645
-316.03333337	0.00037076
-316.00000004	0.00015498
-315.96666671	0.00026106
-315.93333338	0.00026870
-315.90000004	0.00024488
-315.86666671	0.00024319
-315.83333338	0.00031048
-315.80000004	0.00032866
-315.76666671	0.00032751
-315.73333338	0.00011919
-315.70000004	0.00030202
-315.66666671	0.00025167
-315.63333338	0.00022854
-315.60000004	0.00025490
-315.56666671	0.00018054
-315.53333338	0.00028797
-315.50000004	0.00023469
-315.46666671	0.00018559
-315.43333338	0.00027686
-315.40000004	0.00021802
-315.36666671	0.00026804
-315.33333338	0.00014159
-315.30000004	0.00025786
-315.26666671	0.00023164
-315.23333338	0.00012491
-315.20000004	0.00014316
-315.16666671	0.00021887
-315.13333338	0.00025272
-315.10000005	0.00017176
-315.06666671	0.00020328
-315.03333338	0.00020088
-315.00000005	0.00019331
-314.96666671	0.00014524
-314.93333338	0.00026370
-314.90000005	0.00021829
-314.86666671	0.00009764
-314.83333338	0.00016435
-314.80000005	0.00005497
-314.76666671	0.00013845
-314.73333338	0.00013494
-314.70000005	0.00012496
-314.66666671	0.00010434
-314.63333338	0.00020230
-314.60000005	0.00018629
-314.56666671	0.00013961
-314.53333338	0.00011774
-314.50000005	0.00013871
-314.46666671	0.00018787
-314.43333338	0.00013301
-314.40000005	0.00012943
-314.36666672	0.00012522
-314.33333338	0.00013083
-314.30000005	0.00004686
-314.26666672	0.00017757
-314.23333338	0.00018574
-314.20000005	0.00027214
-314.16666672	0.00006242
-314.13333338	0.00011304
-314.10000005	0.00016096
-314.06666672	0.00019675
-314.03333338	0.00016472
-314.00000005	0.00007574
-313.96666672	0.00018855
-313.93333338	0.00008743
-313.90000005	0.00014329
-313.86666672	0.00013831
-313.83333338	0.00015019
-313.80000005	0.00014251
-313.76666672	0.00020092
-313.73333338	0.00014975
-313.70000005	0.00018900
-313.66666672	0.00011625
-313.63333338	0.00019620
-313.60000005	0.00022312
-313.56666672	0.00022407
-313.53333339	0.00023923
-313.50000005	0.00019193
-313.46666672	0.00023169
-313.43333339	0.00019823
-313.40000005	0.00017728
-313.36666672	0.00014726
-313.33333339	0.00016587
-313.30000005	0.00012136
-313.26666672	0.00017062
-313.23333339	0.00015828
-313.20000005	0.00020010
-313.16666672	0.00026313
-313.13333339	0.00026163
-313.10000005	0.00018781
-313.06666672	0.00016052
-313.03333339	0.00017204
-313.00000005	0.00023380
-312.96666672	0.00015215
-312.93333339	0.00015648
-312.90000005	0.00013337
-312.86666672	0.00015552
-312.83333339	0.00012569
-312.80000006	0.00015024
-312.76666672	0.00014515
-312.73333339	0.00023338
-312.70000006	0.00014615
-312.66666672	0.00013737
-312.63333339	0.00023716
-312.60000006	0.00024094
-312.56666672	0.00020864
-312.53333339	0.00022963
-312.50000006	0.00023837
-312.46666672	0.00014876
-312.43333339	0.00017875
-312.40000006	0.00013990
-312.36666672	0.00012619
-312.33333339	0.00019509
-312.30000006	0.00025236
-312.26666672	0.00012655
-312.23333339	0.00011239
-312.20000006	0.00017622
-312.16666672	0.00018092
-312.13333339	0.00014663
-312.10000006	0.00013679
-312.06666672	0.00015333
-312.03333339	0.00009411
-312.00000006	0.00019814
-311.96666673	0.00025840
-311.93333339	0.00011635
-311.90000006	0.00022894
-311.86666673	0.00018900
-311.83333339	0.00014452
-311.80000006	0.00017926
-311.76666673	0.00015337
-311.73333339	0.00014842
-311.70000006	0.00011351
-311.66666673	0.00015510
-311.63333339	0.00014160
-311.60000006	0.00010168
-311.56666673	0.00018345
-311.53333339	0.00010713
-311.50000006	0.00013244
-311.46666673	0.00016939
-311.43333339	0.00016337
-311.40000006	0.00011860
