# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -327.00000000 ps, Average over 100 waveforms. Timestamp: 2026-05-07T11:44:23
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-326.90000000	0.00000000
-326.86666666	-0.00000003
-326.83333333	-0.00000007
-326.80000000	-0.00000001
-326.76666666	-0.00000013
-326.73333333	-0.00000012
-326.70000000	0.00000040
-326.66666666	0.00000045
-326.63333333	-0.00000014
-326.60000000	0.00000175
-326.56666666	-0.00000123
-326.53333333	-0.00000278
-326.50000000	0.00000325
-326.46666666	-0.00000090
-326.43333333	0.00000017
-326.40000000	-0.00000065
-326.36666666	0.00000743
-326.33333333	0.00000579
-326.30000000	0.00000696
-326.26666666	0.00000278
-326.23333333	0.00000731
-326.20000000	-0.00000271
-326.16666666	-0.00001503
-326.13333333	-0.00001995
-326.10000000	0.00000891
-326.06666667	-0.00000046
-326.03333333	-0.00000958
-326.00000000	-0.00000955
-325.96666667	-0.00000017
-325.93333333	0.00002604
-325.90000000	-0.00001059
-325.86666667	-0.00001319
-325.83333333	-0.00002542
-325.80000000	0.00000656
-325.76666667	-0.00000664
-325.73333333	0.00001932
-325.70000000	-0.00001634
-325.66666667	-0.00000730
-325.63333333	0.00002706
-325.60000000	0.00000292
-325.56666667	-0.00001803
-325.53333333	-0.00001285
-325.50000000	0.00000439
-325.46666667	-0.00001920
-325.43333333	-0.00000196
-325.40000000	0.00002022
-325.36666667	-0.00001236
-325.33333334	-0.00005501
-325.30000000	-0.00001690
-325.26666667	0.00001290
-325.23333334	0.00002896
-325.20000000	-0.00002379
-325.16666667	0.00005808
-325.13333334	0.00008144
-325.10000000	0.00004443
-325.06666667	0.00010892
-325.03333334	0.00006275
-325.00000000	0.00003794
-324.96666667	-0.00003194
-324.93333334	-0.00001345
-324.90000000	0.00001622
-324.86666667	0.00005622
-324.83333334	-0.00000725
-324.80000000	-0.00001084
-324.76666667	-0.00000562
-324.73333334	0.00002203
-324.70000000	0.00007799
-324.66666667	0.00001598
-324.63333334	-0.00002921
-324.60000000	0.00002932
-324.56666667	0.00002496
-324.53333334	-0.00003999
-324.50000001	-0.00007488
-324.46666667	-0.00003154
-324.43333334	-0.00002137
-324.40000001	-0.00008995
-324.36666667	-0.00009301
-324.33333334	0.00008190
-324.30000001	-0.00001957
-324.26666667	0.00003738
-324.23333334	0.00018758
-324.20000001	-0.00001284
-324.16666667	-0.00008615
-324.13333334	-0.00006012
-324.10000001	0.00005090
-324.06666667	-0.00019437
-324.03333334	0.00015425
-324.00000001	-0.00007622
-323.96666667	0.00005018
-323.93333334	-0.00004596
-323.90000001	0.00005819
-323.86666667	0.00013750
-323.83333334	0.00004265
-323.80000001	0.00027287
-323.76666668	0.00013421
-323.73333334	0.00006273
-323.70000001	-0.00001482
-323.66666668	0.00006550
-323.63333334	0.00001309
-323.60000001	0.00005597
-323.56666668	0.00013816
-323.53333334	-0.00000725
-323.50000001	-0.00013438
-323.46666668	-0.00016972
-323.43333334	0.00000264
-323.40000001	-0.00007076
-323.36666668	-0.00013003
-323.33333334	-0.00006684
-323.30000001	-0.00015268
-323.26666668	-0.00038685
-323.23333334	-0.00010631
-323.20000001	0.00001952
-323.16666668	-0.00006092
-323.13333334	-0.00001289
-323.10000001	-0.00000121
-323.06666668	-0.00012659
-323.03333334	-0.00008651
-323.00000001	0.00000088
-322.96666668	0.00007888
-322.93333335	0.00005356
-322.90000001	-0.00002494
-322.86666668	0.00001347
-322.83333335	-0.00007951
-322.80000001	0.00010841
-322.76666668	-0.00017521
-322.73333335	-0.00002672
-322.70000001	0.00005854
-322.66666668	0.00012199
-322.63333335	0.00011953
-322.60000001	-0.00015004
-322.56666668	0.00007206
-322.53333335	0.00000258
-322.50000001	0.00004429
-322.46666668	0.00005153
-322.43333335	0.00012138
-322.40000001	0.00004048
-322.36666668	-0.00012265
-322.33333335	0.00018381
-322.30000001	0.00006453
-322.26666668	0.00024304
-322.23333335	0.00014427
-322.20000002	-0.00003466
-322.16666668	0.00010269
-322.13333335	0.00002086
-322.10000002	-0.00008361
-322.06666668	0.00025712
-322.03333335	0.00012230
-322.00000002	0.00010618
-321.96666668	0.00006036
-321.93333335	0.00015551
-321.90000002	0.00011442
-321.86666668	0.00006187
-321.83333335	-0.00025065
-321.80000002	0.00028077
-321.76666668	0.00009472
-321.73333335	0.00025817
-321.70000002	0.00027893
-321.66666668	0.00015669
-321.63333335	-0.00007948
-321.60000002	0.00021687
-321.56666668	0.00015369
-321.53333335	-0.00006517
-321.50000002	0.00008184
-321.46666668	-0.00002305
-321.43333335	-0.00016742
-321.40000002	0.00033658
-321.36666669	0.00037008
-321.33333335	0.00047584
-321.30000002	0.00002102
-321.26666669	0.00002353
-321.23333335	0.00005455
-321.20000002	0.00019511
-321.16666669	0.00004726
-321.13333335	-0.00006225
-321.10000002	0.00010093
-321.06666669	0.00017471
-321.03333335	0.00001062
-321.00000002	0.00000388
-320.96666669	-0.00004317
-320.93333335	0.00004214
-320.90000002	0.00005489
-320.86666669	0.00005999
-320.83333335	0.00012050
-320.80000002	0.00047599
-320.76666669	0.00027747
-320.73333335	0.00040216
-320.70000002	0.00013586
-320.66666669	0.00005067
-320.63333336	-0.00008737
-320.60000002	0.00035077
-320.56666669	0.00026392
-320.53333336	0.00021300
-320.50000002	0.00015939
-320.46666669	-0.00008303
-320.43333336	0.00014526
-320.40000002	0.00026723
-320.36666669	0.00014451
-320.33333336	0.00015543
-320.30000002	0.00017995
-320.26666669	0.00008530
-320.23333336	0.00011891
-320.20000002	0.00004340
-320.16666669	-0.00011599
-320.13333336	0.00027853
-320.10000002	0.00010667
-320.06666669	0.00004052
-320.03333336	0.00016736
-320.00000002	0.00018069
-319.96666669	0.00000149
-319.93333336	0.00028804
-319.90000002	0.00000127
-319.86666669	0.00019789
-319.83333336	0.00049268
-319.80000003	0.00006914
-319.76666669	0.00024462
-319.73333336	0.00023686
-319.70000003	0.00011792
-319.66666669	0.00038942
-319.63333336	0.00046110
-319.60000003	0.00022938
-319.56666669	0.00026961
-319.53333336	0.00008481
-319.50000003	0.00052076
-319.46666669	0.00046460
-319.43333336	0.00053344
-319.40000003	0.00019033
-319.36666669	0.00024343
-319.33333336	0.00041346
-319.30000003	0.00046370
-319.26666669	0.00017411
-319.23333336	0.00046032
-319.20000003	0.00055161
-319.16666669	0.00049096
-319.13333336	0.00060516
-319.10000003	0.00031357
-319.06666670	0.00041046
-319.03333336	0.00021322
-319.00000003	0.00030331
-318.96666670	0.00054629
-318.93333336	0.00050230
-318.90000003	0.00056429
-318.86666670	0.00037779
-318.83333336	0.00035265
-318.80000003	0.00032882
-318.76666670	0.00049625
-318.73333336	0.00044324
-318.70000003	0.00053942
-318.66666670	0.00044770
-318.63333336	0.00046404
-318.60000003	0.00064331
-318.56666670	0.00031791
-318.53333336	0.00037507
-318.50000003	0.00038278
-318.46666670	0.00051167
-318.43333336	0.00041798
-318.40000003	0.00030961
-318.36666670	0.00049203
-318.33333336	0.00027795
-318.30000003	0.00038032
-318.26666670	0.00028420
-318.23333337	0.00038310
-318.20000003	0.00021202
-318.16666670	0.00036604
-318.13333337	0.00042207
-318.10000003	0.00082189
-318.06666670	0.00065719
-318.03333337	0.00036416
-318.00000003	0.00036091
-317.96666670	0.00062959
-317.93333337	0.00053768
-317.90000003	0.00056600
-317.86666670	0.00031177
-317.83333337	0.00046859
-317.80000003	0.00061426
-317.76666670	0.00030502
-317.73333337	0.00025315
-317.70000003	0.00029367
-317.66666670	0.00055855
